experiment_key,lot_number,wafer_number,conditioning_count,conditioning_surface,mean_si_etch,std_si_etch,cv_si_etch,min_si_etch,max_si_etch,n_points,Date,planned_wafers,process_date,process_group
2024-07-02_01,1,1,3,Chuck,44.28899101123595,3.688361093285706,0.0832794111825663,40.5896,52.6763,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_01
2024-07-02_02,1,2,3,Chuck,44.038886516853935,3.636161560823041,0.0825670639840419,40.3938,51.8768,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_02
2024-07-02_03,1,3,3,Chuck,44.149623595505616,3.603756541381583,0.0816259856346417,40.5103,51.911,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_03
2024-07-02_04,1,4,3,Chuck,43.90529550561798,3.5522596776850137,0.0809073173697345,40.3074,51.6734,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_04
2024-07-02_05,1,5,3,Chuck,43.42659101123596,3.509060637272411,0.0808044231785197,39.8455,51.0277,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_05
2024-07-02_06,1,6,3,Chuck,43.584064044943815,3.504993155363801,0.0804191447532166,39.988,51.257,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_06
2024-07-02_08,1,8,3,Chuck,43.09692808988764,3.477713183714158,0.0806951524818813,39.5443,50.67,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_08
2024-07-02_09,1,9,3,Chuck,43.339929213483146,3.4895088394683547,0.0805148716851794,39.7618,50.9367,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_09
2024-07-02_10,1,10,3,Chuck,43.28435730337079,3.477851927747658,0.080348933065406,39.7163,50.9023,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_10
2024-07-05_01,2,1,1,Chuck,44.20857078651686,3.793221476954354,0.085802852466591,40.4464,52.6825,89,5th July 2024,10,2024-07-05,Day_2024_07_05_Wafer_01
2024-07-05_02,2,2,1,Chuck,44.20844943820225,3.6585005708723823,0.0827556862401722,40.5446,52.1452,89,5th July 2024,10,2024-07-05,Day_2024_07_05_Wafer_02
2024-07-05_03,2,3,1,Chuck,43.95148597898877,3.547390219150668,0.0807114967818497,40.3631,51.6801,89,5th July 2024,10,2024-07-05,Day_2024_07_05_Wafer_03
2024-07-05_04,2,4,1,Chuck,43.42695056179775,3.466730713088856,0.0798290155822846,39.9051,51.0643,89,5th July 2024,10,2024-07-05,Day_2024_07_05_Wafer_04
2024-07-05_05,2,5,1,Chuck,43.54600561797753,3.4666253747622258,0.0796083435338341,40.0046,51.2281,89,5th July 2024,10,2024-07-05,Day_2024_07_05_Wafer_05
2024-07-05_06,2,6,1,Chuck,43.41621348314607,3.452597133719872,0.0795232208598787,39.8772,51.0924,89,5th July 2024,10,2024-07-05,Day_2024_07_05_Wafer_06
2024-07-05_07,2,7,1,Chuck,43.29778764044944,3.45002615253,0.0796813495687002,39.7664,50.9669,89,5th July 2024,10,2024-07-05,Day_2024_07_05_Wafer_07
2024-07-05_08,2,8,1,Chuck,42.96067191011236,3.4267495520532942,0.0797648034747492,39.4479,50.5389,89,5th July 2024,10,2024-07-05,Day_2024_07_05_Wafer_08
2024-07-05_09,2,9,1,Chuck,43.18773370786516,3.447464424166889,0.079825082915593,39.6556,50.8204,89,5th July 2024,10,2024-07-05,Day_2024_07_05_Wafer_09
2024-07-05_10,2,10,1,Chuck,43.10430337078652,3.4263373788217737,0.0794894502608743,39.5785,50.7233,89,5th July 2024,10,2024-07-05,Day_2024_07_05_Wafer_10
2024-07-09_01,3,1,9,Chuck,44.18354494382022,3.6836329448352063,0.0833711498142346,40.4958,52.5449,89,9th July 2024,10,2024-07-09,Day_2024_07_09_Wafer_01
2024-07-09_02,3,2,9,Chuck,43.90555393258427,3.620144491216546,0.082452996647649,39.2308,52.0478,89,9th July 2024,10,2024-07-09,Day_2024_07_09_Wafer_02
2024-07-09_03,3,3,9,Chuck,44.266009562584266,3.726089616354972,0.0841749607243667,40.5166,52.3406,89,9th July 2024,10,2024-07-09,Day_2024_07_09_Wafer_03
2024-07-09_04,3,4,9,Chuck,44.079486308876405,3.6802060420349063,0.0834902207400228,40.3343,52.0542,89,9th July 2024,10,2024-07-09,Day_2024_07_09_Wafer_04
2024-07-09_05,3,5,9,Chuck,43.97683269134832,3.617573040407448,0.0822608819011002,40.2553,51.8725,89,9th July 2024,10,2024-07-09,Day_2024_07_09_Wafer_05
2024-07-09_06,3,6,9,Chuck,43.70646829337079,3.612516559788651,0.0826540487220419,40.0075,51.6604,89,9th July 2024,10,2024-07-09,Day_2024_07_09_Wafer_06
2024-07-09_07,3,7,9,Chuck,43.58551297651685,3.5956182045580425,0.0824957183937539,39.8958,51.4953,89,9th July 2024,10,2024-07-09,Day_2024_07_09_Wafer_07
2024-07-09_08,3,8,9,Chuck,43.50429716483146,3.580641267962553,0.0823054617891199,39.8245,51.3609,89,9th July 2024,10,2024-07-09,Day_2024_07_09_Wafer_08
2024-07-09_09,3,9,9,Chuck,43.42807412224719,3.5553391158461136,0.0818672986934227,39.7708,51.19,89,9th July 2024,10,2024-07-09,Day_2024_07_09_Wafer_09
2024-07-09_10,3,10,9,Chuck,42.98307262797753,3.537856523444539,0.0823081345083217,39.3302,50.7712,89,9th July 2024,10,2024-07-09,Day_2024_07_09_Wafer_10
2024-07-11_01,4,1,3,Si,44.30630482640449,3.7748835123493496,0.0851996917174572,40.5354,52.6455,89,11th July 2024,10,2024-07-11,Day_2024_07_11_Wafer_01
2024-07-11_02,4,2,3,Si,44.36490342820225,3.737808419771371,0.0842514720182009,40.6087,52.5266,89,11th July 2024,10,2024-07-11,Day_2024_07_11_Wafer_02
2024-07-11_03,4,3,3,Si,44.32450595134832,3.668143649233856,0.0827565602933082,40.6007,52.3633,89,11th July 2024,10,2024-07-11,Day_2024_07_11_Wafer_03
2024-07-11_04,4,4,3,Si,43.998570636404494,3.6403860875063514,0.0827387352555105,40.2776,51.9429,89,11th July 2024,10,2024-07-11,Day_2024_07_11_Wafer_04
2024-07-11_05,4,5,3,Si,43.92957708887641,3.58105345993556,0.0815180499618862,40.2389,51.7485,89,11th July 2024,10,2024-07-11,Day_2024_07_11_Wafer_05
2024-07-11_06,4,6,3,Si,43.64391731,3.5909332851148625,0.0822779783860529,39.9431,51.5914,89,11th July 2024,10,2024-07-11,Day_2024_07_11_Wafer_06
2024-07-11_07,4,7,3,Si,43.214110956853936,3.544839253352606,0.0820296698199313,39.5572,51.0043,89,11th July 2024,10,2024-07-11,Day_2024_07_11_Wafer_07
2024-07-11_08,4,8,3,Si,43.135930337078655,3.5405483509044084,0.0820788684337482,39.4823,50.9625,89,11th July 2024,10,2024-07-11,Day_2024_07_11_Wafer_08
2024-07-11_09,4,9,3,Si,42.94292808988764,3.535692373945909,0.0823346830599217,39.3009,50.7659,89,11th July 2024,10,2024-07-11,Day_2024_07_11_Wafer_09
2024-07-11_10,4,10,3,Si,43.42402808988764,3.5187772857649904,0.0810329543468682,39.775,51.2116,89,11th July 2024,10,2024-07-11,Day_2024_07_11_Wafer_10
2024-07-19_01,5,1,1,Si,44.31420112359551,3.7898979852093886,0.0855233286196244,40.572,52.7809,89,19th July 2024,10,2024-07-19,Day_2024_07_19_Wafer_01
2024-07-19_02,5,2,1,Si,43.71237640449438,3.675083242657185,0.0840742038055685,40.0443,51.7959,89,19th July 2024,10,2024-07-19,Day_2024_07_19_Wafer_02
2024-07-19_03,5,3,1,Si,43.85850112359551,3.59665582626589,0.0820058992925984,40.1919,51.7073,89,19th July 2024,10,2024-07-19,Day_2024_07_19_Wafer_03
2024-07-19_04,5,4,1,Si,43.35476853932584,3.5109266995920128,0.0809813272652431,39.738,51.0861,89,19th July 2024,10,2024-07-19,Day_2024_07_19_Wafer_04
2024-07-19_05,5,5,1,Si,43.50141797752809,3.525516996631381,0.081043725941361,39.8595,51.3457,89,19th July 2024,10,2024-07-19,Day_2024_07_19_Wafer_05
2024-07-19_06,5,6,1,Si,43.371765168539326,3.514368172720677,0.0810289403501128,39.7342,51.1782,89,19th July 2024,10,2024-07-19,Day_2024_07_19_Wafer_06
2024-07-19_07,5,7,1,Si,43.26722436393258,3.499747225483388,0.0808867977304494,39.6316,50.9781,89,19th July 2024,10,2024-07-19,Day_2024_07_19_Wafer_07
2024-07-19_08,5,8,1,Si,43.17212696629213,3.5171884290439914,0.0814689633380846,39.5676,51.0264,89,19th July 2024,10,2024-07-19,Day_2024_07_19_Wafer_08
2024-07-19_09,5,9,1,Si,43.233769856629216,3.4869587445155985,0.0806535899154519,39.6471,50.9989,89,19th July 2024,10,2024-07-19,Day_2024_07_19_Wafer_09
2024-07-19_10,5,10,1,Si,43.02462584269663,3.4908134401574133,0.081135242242902,39.4453,50.8589,89,19th July 2024,10,2024-07-19,Day_2024_07_19_Wafer_10
2024-08-01_01,6,1,9,Si,43.75222247191011,3.6681675018372233,0.0838395696171152,40.0937,51.9813,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_01
2024-08-01_02,6,2,9,Si,44.195029213483146,3.712803884630562,0.0840095357035729,40.5022,52.2677,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_02
2024-08-01_03,6,3,9,Si,44.066997752808994,3.679643666325756,0.0835011199756897,40.3885,52.1867,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_03
2024-08-01_04,6,4,9,Si,43.89461797752809,3.660172377447228,0.0833854478314643,40.222,51.9347,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_04
2024-08-01_05,6,5,9,Si,43.69129550561797,3.6235096083803935,0.0829343594976365,40.0373,51.6084,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_05
2024-08-01_06,6,6,9,Si,43.231184269662926,3.57928583223534,0.0827940731373179,39.5939,51.0864,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_06
2024-08-01_07,6,7,9,Si,42.97732808988764,3.866934891427953,0.0899761586699901,28.653,50.9534,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_07
2024-08-01_08,6,8,9,Si,43.32931011235955,3.550864204670488,0.0819506286959693,39.6672,51.2159,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_08
2024-08-01_09,6,9,9,Si,43.23398539325843,3.5302805626835823,0.0816552193967773,39.4678,50.9339,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_09
2024-08-01_10,6,10,9,Si,43.2034202247191,3.532390761650728,0.0817618314308747,39.5395,51.0186,89,1st Aug 2024,10,2024-08-01,Day_2024_08_01_Wafer_10
2024-08-05_01,7,1,3,SiO2,43.83111460674157,3.7184122433185767,0.0848349916875409,40.0996,52.1228,89,5th Aug 2024,6,2024-08-05,Day_2024_08_05_Wafer_01
2024-08-05_02,7,2,3,SiO2,44.11084831460674,3.716409880580997,0.0842516075427721,40.3837,52.2922,89,5th Aug 2024,6,2024-08-05,Day_2024_08_05_Wafer_02
2024-08-05_03,7,3,3,SiO2,43.68900561797753,3.6333695601065674,0.0831643913317055,40.0253,51.6961,89,5th Aug 2024,6,2024-08-05,Day_2024_08_05_Wafer_03
