feature_index,feature,min,max,mean,std
0,Stat3_Etch_MV_EpdIntensity,0.123,791.59094,18.65969,119.716354
1,Stat3_Etch_MV_ForeLinePressure,20.752586,157.47551,127.43975,34.898743
2,Stat3_Etch_MV_Gas1Flow,0.0,200.0,7.20715,35.03499
3,Stat3_Etch_MV_Gas2Flow,3.67,4.44,4.1583233,0.11407332
4,Stat3_Etch_MV_Gas3Flow,0.0,0.0,0.0,0.0
5,Stat3_Etch_MV_Gas4Flow,0.0,300.02,71.433914,121.88954
6,Stat3_Etch_MV_Gas5Flow,0.0,600.03,408.1156,270.48956
7,Stat3_Etch_MV_Gas6Flow,0.0,0.0,0.0,0.0
8,Stat3_Etch_MV_Gas7Flow,1.85,2.13,2.0028415,0.035908144
9,Stat3_Etch_MV_Gas8Flow,0.0,0.0,0.0,0.0
10,Stat3_Etch_MV_Heater1Temp,1371.0,1371.1,1371.0139,0.03465399
11,Stat3_Etch_MV_Heater2Temp,54.2,54.7,54.423637,0.12486336
12,Stat3_Etch_MV_Heater3Temp,10.1,10.3,10.162712,0.04937354
13,Stat3_Etch_MV_Heater4Temp,59.7,60.2,59.99525,0.09808052
14,Stat3_Etch_MV_Heater5Temp,0.0,0.0,0.0,0.0
15,Stat3_Etch_MV_Heater6Temp,0.0,0.0,0.0,0.0
16,Stat3_Etch_MV_Heater7Temp,0.0,0.0,0.0,0.0
17,Stat3_Etch_MV_Heater8Temp,0.0,0.0,0.0,0.0
18,Stat3_Etch_MV_HeliumBPFlow,0.0,9.458297,1.6687307,0.43303362
19,Stat3_Etch_MV_HeliumBPPressure,0.0,14.993134,14.378463,2.9416065
20,Stat3_Etch_MV_PlatenDcBias,-32.074955,30.426954,1.9112487,11.159728
21,Stat3_Etch_MV_PlatenRFLoadCapacitor,7.861568,94.56465,86.077065,14.047291
22,Stat3_Etch_MV_PlatenRFLoadPower,0.0,80.2942,40.964485,22.987686
23,Stat3_Etch_MV_PlatenRFPeakToPeak,0.0,976.37103,520.51154,230.6307
24,Stat3_Etch_MV_PlatenRFReflectedPower,0.0,222.52571,3.3647997,8.137334
25,Stat3_Etch_MV_PlatenRFTuningCapacitor,14.267404,50.065617,28.40341,3.9310172
26,Stat3_Etch_MV_Pressure,0.0006,0.074,0.040605485,0.0091916425
27,Stat3_Etch_MV_SourceRF2LoadCapacitor,1.0,1.0,1.0,0.0
28,Stat3_Etch_MV_SourceRF2LoadPower,0.0,0.0,0.0,0.0
29,Stat3_Etch_MV_SourceRF2PeakToPeak,0.0,60.121464,0.18452176,3.169481
30,Stat3_Etch_MV_SourceRF2ReflectedPower,0.0,0.0,0.0,0.0
31,Stat3_Etch_MV_SourceRF2TuningCapacitor,1.0,2.0,1.9436055,0.2307174
32,Stat3_Etch_MV_SourceRFLoadCapacitor,1.0,1.0,1.0,0.0
33,Stat3_Etch_MV_SourceRFLoadPower,0.0,2806.4822,2587.1436,708.75256
34,Stat3_Etch_MV_SourceRFPeakToPeak,0.0,3383.4346,3054.1707,794.0651
35,Stat3_Etch_MV_SourceRFReflectedPower,0.0,1000.0,138.85622,176.97305
36,Stat3_Etch_MV_SourceRFTuningCapacitor,1.0,4.0,3.0077043,0.2321344
37,Stat3_Etch_MV_ThermoCouple1Temp,0.0,0.0,0.0,0.0
38,Stat3_Etch_MV_ThermoCouple2Temp,0.0,0.0,0.0,0.0
39,Stat3_Etch_MV_ThermoCouple3Temp,0.0,0.0,0.0,0.0
40,Stat3_Etch_MV_ThermoCouple4Temp,0.0,0.0,0.0,0.0
41,Stat3_Etch_MV_attenuatorRatio,1.0,1.0,1.0,0.0
42,Stat3_Etch_MV_moriInnerCurrent,0.0,10.050966,9.823347,1.3137501
43,Stat3_Etch_MV_moriOuterCurrent,0.0,0.0,0.0,0.0
