experiment_key,lot_number,wafer_number,conditioning_count,conditioning_surface,mean_si_etch,std_si_etch,cv_si_etch,min_si_etch,max_si_etch,n_points,Date,planned_wafers,process_date,process_group,n_samples,n_process_signals,EpdIntensity_mean,ForeLinePressure_mean,ForeLinePressure_min,ForeLinePressure_max,Gas1Flow_mean,Gas1Flow_max,Gas2Flow_mean,Gas2Flow_std,Gas2Flow_min,Gas2Flow_max,Gas4Flow_mean,Gas4Flow_max,Gas5Flow_max,Gas7Flow_mean,Gas7Flow_std,Gas7Flow_min,Gas7Flow_max,Heater1Temp_mean,Heater2Temp_mean,Heater2Temp_std,Heater3Temp_mean,Heater3Temp_std,Heater3Temp_min,Heater3Temp_max,Heater4Temp_mean,Heater4Temp_std,HeliumBPFlow_mean,HeliumBPFlow_std,HeliumBPFlow_min,HeliumBPFlow_max,HeliumBPPressure_mean,HeliumBPPressure_min,HeliumBPPressure_max,PlatenDcBias_mean,PlatenDcBias_std,PlatenDcBias_min,PlatenDcBias_max,PlatenRFLoadCapacitor_mean,PlatenRFLoadCapacitor_std,PlatenRFLoadCapacitor_min,PlatenRFLoadCapacitor_max,PlatenRFLoadPower_max,PlatenRFPeakToPeak_mean,PlatenRFPeakToPeak_max,PlatenRFReflectedPower_mean,PlatenRFReflectedPower_std,PlatenRFReflectedPower_max,PlatenRFTuningCapacitor_mean,PlatenRFTuningCapacitor_std,PlatenRFTuningCapacitor_min,PlatenRFTuningCapacitor_max,Pressure_mean,Pressure_min,Pressure_max,SourceRF2PeakToPeak_mean,SourceRF2PeakToPeak_max,SourceRFLoadPower_max,SourceRFPeakToPeak_max,SourceRFReflectedPower_mean,SourceRFReflectedPower_std,moriInnerCurrent_max
2024-07-02_01,1,1,3,Chuck,44.28899101123595,3.688361093285706,0.0832794111825663,40.5896,52.6763,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_01,3245,44,18.659691411975444,127.43974656985245,20.752586364746094,157.4755096435547,7.207149461201049,200.0,4.15832357656423,0.1140733217753316,3.670000076293945,4.440000057220459,71.43391342596517,300.0199890136719,600.030029296875,2.00284128912792,0.0359081445465727,1.850000023841858,2.130000114440918,1371.0139565301786,54.42363645321416,0.1248633636671309,10.162711891738589,0.0493735393476421,10.100000381469728,10.300000190734863,59.99525399112554,0.098080522985174,1.668730659950496,0.4330336028915907,0.0,9.458296775817873,14.378463729281547,0.0,14.993133544921877,1.911248689660306,11.15972833903303,-32.074954986572266,30.42695426940918,86.07706086507012,14.047291051787674,7.861567974090576,94.5646514892578,80.29419708251953,520.5115468452818,976.3710327148438,3.3647996920340324,8.137334704547719,222.5257110595703,28.403409317498586,3.9310172726276,14.267403602600098,50.065616607666016,0.0406054850117746,0.0006000000284984,0.0740000009536743,0.1845217723875824,60.121463775634766,2806.482177734375,3383.4345703125,138.8562100766436,176.97305166144696,10.050966262817385
2024-07-02_02,1,2,3,Chuck,44.038886516853935,3.636161560823041,0.0825670639840419,40.3938,51.8768,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_02,3298,44,0.1230000033974647,125.29893167066604,20.14221572875977,157.4755096435547,7.046876895571836,200.0,3.973226222000099,0.1402306222662682,3.440000057220459,4.400000095367432,70.39368377980003,300.0,600.010009765625,2.0399696421738898,0.0377321538313941,1.8799999952316284,2.1600000858306885,1371.0130350218171,54.42683412726537,0.1638504462449385,10.155700487249035,0.0496812371312568,10.100000381469728,10.199999809265137,59.99939337291452,0.0784643467375918,1.67296250747362,0.4399563437877532,0.1416058838367462,9.9075288772583,14.388317295250168,0.0042725913226604,14.993133544921877,3.376524210699115,14.258217860691277,-32.074954986572266,35.34043502807617,85.08170768186639,18.654935566708534,0.0,93.25235748291016,80.29419708251953,514.4097683260555,979.2550659179688,3.2087880769589767,7.893905724749421,223.62437438964844,28.4468986095986,3.984142183214082,24.2133846282959,49.94354248046875,0.0403640081692575,0.0006000000284984,0.0691999942064285,0.0776380500770323,53.40739059448242,2805.978515625,3356.273193359375,137.38881595317318,184.8903047904784,10.016724586486816
2024-07-02_03,1,3,3,Chuck,44.149623595505616,3.603756541381583,0.0816259856346417,40.5103,51.911,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_03,3247,44,0.1230000033974647,126.95352162571734,20.14221572875977,157.17031860351562,7.186208807923242,200.0,3.977859594361541,0.1225004309165457,3.369999885559082,4.28000020980835,71.36342758812357,300.0,600.010009765625,2.045423429894161,0.0428763485453345,1.8799999952316284,2.150000095367432,1371.0129010688352,54.417831722831664,0.1719172136168051,10.155959408357395,0.049650953744501,10.100000381469728,10.199999809265137,60.00455773027266,0.0843082353993663,1.6764453597892277,0.4490773665665604,0.1379436701536178,9.966124534606934,14.374781262294755,0.0042725913226604,14.993743896484377,2.6535594920800727,13.896962897306446,-44.3739128112793,34.699546813964844,86.55485396286801,14.097557822634728,7.608264446258545,93.24320220947266,80.33997344970703,523.826398219187,982.6883544921876,3.1433829762739127,7.697233407552694,225.13504028320312,28.59905403990139,3.954785388163069,24.24390411376953,50.132755279541016,0.0406221124236875,0.0006000000284984,0.0724000036716461,0.0822411311895325,53.86516952514648,2804.8037109375,3362.22412109375,138.2368000484395,176.07123930907565,10.026795387268066
2024-07-02_04,1,4,3,Chuck,43.90529550561798,3.5522596776850137,0.0809073173697345,40.3074,51.6734,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_04,3247,44,0.1230000033974647,126.69260565567134,20.44740104675293,156.86514282226562,7.2275700649463985,200.0,3.991478313473066,0.1266603918374114,3.359999895095825,4.289999961853027,71.41886954508323,300.010009765625,600.010009765625,2.0520603166274154,0.0374112595466631,1.919999957084656,2.140000104904175,1371.011854204061,54.43224515994218,0.1796083701198364,10.199999809265137,0.0,10.199999809265137,10.199999809265137,60.003356697451416,0.0865100735373743,1.615242167265554,0.4262554614887124,0.1452681124210357,9.723196983337402,14.374704564354504,0.0,14.993133544921877,3.4489863286724742,12.806949850260407,-95.919677734375,35.46250915527344,86.35268365106914,14.03746953529123,6.933805465698242,92.7243881225586,80.15686798095703,526.4545095553573,980.9030151367188,3.213466527177383,7.675505811409587,221.79327392578125,28.662895691369105,3.917933630626661,24.23474884033203,50.06866836547852,0.040581182255041,0.0006000000284984,0.0724999979138374,0.0491566988443058,54.93331527709961,2806.64990234375,3360.087890625,135.95313762347487,176.0271827279295,10.022767066955566
2024-07-02_05,1,5,3,Chuck,43.42659101123596,3.509060637272411,0.0808044231785197,39.8455,51.0277,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_05,3298,44,0.1230000033974647,124.94266646034144,20.44740104675293,156.55995178222656,7.152380231108229,200.0,4.059784738348064,0.1091082971332295,3.660000085830689,4.340000152587891,70.36819557242633,300.0,600.010009765625,2.056531184655092,0.0375876793377622,1.940000057220459,2.190000057220459,1371.014762920058,54.412735260639,0.2173023841532962,10.197877331890432,0.0198961026902722,10.100000381469728,10.300000190734863,60.00788324192989,0.0832948761706469,1.6145042939040428,0.4423443082398754,0.1391644030809402,10.022278785705566,14.384122248428374,0.0048829615116119,14.993743896484377,2.465549480271672,12.319752942936304,-85.26871490478516,40.162357330322266,84.49049533997578,18.519005259895152,0.0,92.94412231445312,80.20264434814453,515.2810932712312,981.8643798828124,3.388887075525457,8.06046530712927,222.20526123046875,28.648053325400923,3.909125644983802,24.26526641845703,50.065616607666016,0.0403852936821417,0.0006000000284984,0.065600000321865,0.0786559508018887,54.780723571777344,2804.6357421875,3361.766357421875,139.7947628842006,185.69383878949228,10.020752906799316
2024-07-02_06,1,6,3,Chuck,43.584064044943815,3.504993155363801,0.0804191447532166,39.988,51.257,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_06,3246,44,0.1230000033974647,126.8747326127556,20.44740104675293,156.86514282226562,7.235705492448794,200.0,3.885536060095274,0.1218721857645881,3.539999961853028,4.289999961853027,71.33459924382645,300.0,600.030029296875,2.0660781997702995,0.0379090353617655,1.919999957084656,2.1700000762939453,1371.0133670376763,54.41275388608358,0.2392030987158961,10.166882319870512,0.0480426336704353,10.100000381469728,10.300000190734863,60.003758248912646,0.0793925074041429,1.6322005914222364,0.4352089892108008,0.1318399608135223,9.853816032409668,14.374557292878452,0.0067140720784664,14.993133544921877,3.2857885772037565,11.37732633572118,-53.68205642700195,31.8002872467041,86.30184508515815,14.014744120745306,7.193212509155273,92.7854232788086,79.927978515625,528.3508773493459,981.5210571289062,3.3078030892467045,7.688754291383107,224.036376953125,28.74833808823713,3.906917026342568,24.27136993408203,50.151065826416016,0.040601262581883,0.0006000000284984,0.0731000006198883,0.1644859266956867,56.61183547973633,2806.482177734375,3359.4775390625,140.05827949056774,177.41974710626343,10.026795387268066
2024-07-02_08,1,8,3,Chuck,43.09692808988764,3.477713183714158,0.0806951524818813,39.5443,50.67,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_08,3298,44,0.1230000033974647,124.838933172625,20.14221572875977,156.25477600097656,7.113511236391854,200.0,4.082498505666373,0.0983170409064907,3.5199999809265137,4.369999885559082,70.43594865679623,300.010009765625,600.02001953125,2.0187022251169053,0.0312262770521827,1.8899999856948853,2.119999885559082,1371.0162786202693,54.40539704734011,0.2415476503203535,10.173195843265734,0.0453157346311883,10.100000381469728,10.300000190734863,60.0018493381683,0.0820542271233547,1.6182242562783131,0.4261354761289155,0.1330607086420059,9.75859832763672,14.384275117986189,0.0097659230232238,14.993133544921877,3.180078653945136,9.974507364394675,-66.37776184082031,33.845027923583984,84.43426906691131,18.4742469890502,0.0,92.6419906616211,79.927978515625,517.4325787328531,981.7957153320312,3.3357526698325386,7.778438055248354,224.53993225097656,28.698405199299582,3.864372774390004,24.23780059814453,49.96490478515625,0.040376439751692,0.0006000000284984,0.069300003349781,0.1132645708203243,56.61183547973633,2804.8037109375,3353.83154296875,139.73749220896943,186.2201078194164,10.016724586486816
2024-07-02_09,1,9,3,Chuck,43.339929213483146,3.4895088394683547,0.0805148716851794,39.7618,50.9367,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_09,3246,44,0.1230000033974647,126.95549475022914,20.14221572875977,156.86514282226562,7.186266182301519,200.0,4.064054244988066,0.1026836094282809,3.5799999237060547,4.349999904632568,71.42251036118186,300.0,600.030029296875,2.0772950798364898,0.0408516804526583,1.909999966621399,2.190000057220459,1371.012073453385,54.41333924703075,0.2498398507108354,10.121442033270592,0.0432415070523441,10.0,10.300000190734863,60.01417096573412,0.0820532928616177,1.58673647472558,0.430235637875607,0.1330607086420059,9.9002046585083,14.374600360116068,0.0054933317005634,14.993743896484377,2.603324759395785,9.74895020038958,-66.19464874267578,32.04443359375,86.10614861166925,13.945964928022072,7.300027370452881,92.57179260253906,79.8822021484375,527.7124635763397,983.2377319335938,3.2844629218607904,7.487761861836691,223.30393981933597,28.767588469692758,3.849457099760841,24.23474884033203,50.07477188110352,0.0406440537477337,0.0006000000284984,0.0783000066876411,0.0637447618072002,52.949615478515625,2805.642822265625,3358.104248046875,140.025692523258,177.41396361698816,10.024781227111816
2024-07-02_10,1,10,3,Chuck,43.28435730337079,3.477851927747658,0.080348933065406,39.7163,50.9023,89,2th July 2024,10,2024-07-02,Day_2024_07_02_Wafer_10,3247,44,0.1230000033974647,126.6561376021244,19.53184700012207,157.17031860351562,7.242211271297677,200.0,4.037468455041193,0.1131656421357335,3.5299999713897705,4.300000190734863,71.31986410785518,300.0,600.030029296875,2.069026743884743,0.0383939868014847,1.909999966621399,2.1700000762939453,1371.0143174152945,54.40046189181578,0.2357783144414668,10.130489889790471,0.0460431989683296,10.100000381469728,10.199999809265137,59.99790557494779,0.0795966711061405,1.6088497280973562,0.4358425201529869,0.1330607086420059,10.052797317504885,14.374621288703477,0.0024414807558059,14.993743896484377,2.8596134737964625,8.88035000472889,-31.8308048248291,29.602954864501957,85.97767066074438,13.966621432507678,7.38853120803833,92.90750122070312,79.927978515625,525.6392652854062,982.3450317382812,3.323885823529722,7.568695893275702,222.8003845214844,28.79048881965452,3.907247890080335,24.26831817626953,50.11749649047852,0.0406060358876916,0.0006000000284984,0.0780000016093254,0.0824291110589462,56.00146484375,2805.810791015625,3381.29833984375,139.16477151629712,177.16086272289732,10.018738746643066
2024-07-05_01,2,1,1,Chuck,44.20857078651686,3.793221476954354,0.085802852466591,40.4464,52.6825,89,5th July 2024,10,2024-07-05,Day_2024_07_05_Wafer_01,3245,31,18.531941387899945,127.4380535072832,19.53184700012207,157.4755096435547,7.197405238246376,200.0,4.080289696838896,0.114553918866789,3.640000104904175,4.409999847412109,71.33057002953049,300.010009765625,600.02001953125,1.8823975367244845,0.0473279411636993,1.7300000190734863,2.009999990463257,1371.013987339296,54.05550037378156,0.2461255177691658,10.12563967565175,0.0447169737406964,10.0,10.199999809265137,60.03556177994504,0.0905112461490745,1.5132436972415686,0.4007578241677084,0.0,8.816186904907227,14.37890011248608,0.0048829615116119,14.993743896484377,2.314779572861588,10.38588258027417,-31.647693634033203,31.159399032592773,85.46204855497152,13.932192683268395,8.148442268371582,92.90444946289062,80.20264434814453,518.3919796842272,970.2597045898438,3.3624861119478617,8.160491668138661,223.25816345214844,28.38751243920466,3.924999123672351,14.618366241455078,50.05645751953125,0.0406143602170337,0.0006000000284984,0.0680999979376792,0.1007251874691532,59.51109313964844,2806.64990234375,3367.8701171875,138.830581905384,177.08494623994432,10.032837867736816
