lot_number,W1-W2,W1-W3,W1-W4,center_shift_2_to_3,center_shift_3_to_4
1,44.16393876404494,44.15916704119851,44.09569915730337,-0.004771722846435011,-0.06346788389513591
2,44.208510112359555,44.12283540123596,43.94886419137641,-0.0856747111235947,-0.17397120985955183
3,44.044549438202246,44.118369479662924,44.10864868696629,0.073820041460678,-0.009720792696633396
4,44.33560412730337,44.33190473531835,44.24857121058989,-0.0036993919850161205,-0.08333352472846656
5,44.013288764044944,43.96169288389513,43.80996179775281,-0.051595880149811535,-0.15173108614231978
6,43.97362584269663,44.00474981273408,43.97721685393259,0.031123970037455706,-0.02753295880149409
7,43.97098146067415,43.87698951310861,43.8479904494382,-0.09399194756554152,-0.02899906367041183
8,43.82032029865168,43.785356229063666,43.79718908191011,-0.03496406958801401,0.011832852846445974
9,44.33399550561798,44.28895805243445,44.21147162921348,-0.045037453183525145,-0.0774864232209751
10,44.17359325842697,44.16679363295881,44.09064399823034,-0.006799625468161707,-0.07614963472846625
