baseline_definition,baseline_n,lot_number,complete_baseline,baseline_mean,baseline_sd,baseline_range,pooled_sigma,LCL,CL,UCL
W1-W2,2,1,True,44.16393876404494,0.17685058398275544,0.25010449438201476,0.2141145311637883,43.521595170553574,44.16393876404494,44.80628235753631
W1-W2,2,2,True,44.208510112359555,8.5806216144463e-05,0.0001213483146074168,0.2141145311637883,43.56616651886819,44.208510112359555,44.85085370585092
W1-W2,2,3,True,44.044549438202246,0.19656932915384914,0.2779910112359545,0.2141145311637883,43.40220584471088,44.044549438202246,44.686893031693614
W1-W2,2,4,True,44.33560412730337,0.04143546869924254,0.05859860179775467,0.2141145311637883,43.693260533812,44.33560412730337,44.97794772079474
W1-W2,2,5,True,44.013288764044944,0.425554339962099,0.6018247191011312,0.2141145311637883,43.370945170553576,44.013288764044944,44.65563235753631
W1-W2,2,6,True,43.97362584269663,0.3131116497214134,0.4428067415730368,0.2141145311637883,43.33128224920526,43.97362584269663,44.615969436187996
W1-W2,2,7,True,43.97098146067415,0.19780160175791794,0.2797337078651694,0.2141145311637883,43.328637867182785,43.97098146067415,44.61332505416552
W1-W2,2,8,True,43.82032029865168,0.10727832267555389,0.15171445887640544,0.2141145311637883,43.17797670516031,43.82032029865168,44.46266389214305
W1-W2,2,9,True,44.33399550561798,0.05983394572040849,0.0846179775280973,0.2141145311637883,43.69165191212661,44.33399550561798,44.976339099109346
W1-W2,2,10,True,44.17359325842697,0.2312318624680137,0.3270112359550552,0.2141145311637883,43.5312496649356,44.17359325842697,44.81593685191834
W1-W3,3,1,True,44.15916704119851,0.12532506750163985,0.25010449438201476,0.17747969974414624,43.62672794196607,44.15916704119851,44.69160614043095
W1-W3,3,2,True,44.12283540123596,0.1483929649939227,0.2570848075280878,0.17747969974414624,43.59039630200352,44.12283540123596,44.6552745004684
W1-W3,3,3,True,44.118369479662924,0.18885959373503824,0.36045562999999703,0.17747969974414624,43.58593038043048,44.118369479662924,44.650808578895365
W1-W3,3,4,True,44.33190473531835,0.029991757806760156,0.05859860179775467,0.17747969974414624,43.79946563608591,44.33190473531835,44.864343834550795
W1-W3,3,5,True,43.96169288389513,0.3139022979775555,0.6018247191011312,0.17747969974414624,43.42925378466269,43.96169288389513,44.49413198312757
W1-W3,3,6,True,44.00474981273408,0.2278717997653722,0.4428067415730368,0.17747969974414624,43.47231071350164,44.00474981273408,44.537188911966524
W1-W3,3,7,True,43.87698951310861,0.21463036935739122,0.4218426966292128,0.17747969974414624,43.34455041387617,43.87698951310861,44.40942861234105
W1-W3,3,8,True,43.785356229063666,0.09706584231596013,0.1807494382022483,0.17747969974414624,43.252917129831225,43.785356229063666,44.31779532829611
W1-W3,3,9,True,44.28895805243445,0.08874213823212608,0.17742134831460987,0.17747969974414624,43.75651895320201,44.28895805243445,44.82139715166689
W1-W3,3,10,True,44.16679363295881,0.16392922811303395,0.3270112359550552,0.17747969974414624,43.634354533726366,44.16679363295881,44.69923273219125
W1-W4,4,1,True,44.09569915730337,0.16304479192550175,0.38369550561797183,0.2283819535292829,43.41055329671552,44.09569915730337,44.780845017891224
W1-W4,4,2,True,43.94886419137641,0.36843485468457415,0.7816202247191057,0.2283819535292829,43.263718330788556,43.94886419137641,44.63401005196426
W1-W4,4,3,True,44.10864868696629,0.15542395570324988,0.36045562999999703,0.2283819535292829,43.42350282637844,44.10864868696629,44.79379454755414
W1-W4,4,4,True,44.24857121058989,0.16845645055099012,0.3663327917977526,0.2283819535292829,43.563425350002035,44.24857121058989,44.93371707117774
W1-W4,4,5,True,43.80996179775281,0.39721412167508585,0.9594325842696705,0.2283819535292829,43.12481593716496,43.80996179775281,44.495107658340665
W1-W4,4,6,True,43.97721685393259,0.1940342582303439,0.4428067415730368,0.2283819535292829,43.29207099334474,43.97721685393259,44.66236271452044
W1-W4,4,7,True,43.8479904494382,0.18459301108665083,0.4218426966292128,0.2283819535292829,43.16284458885035,43.8479904494382,44.53313631002605
W1-W4,4,8,True,43.79718908191011,0.08271185398083464,0.1807494382022483,0.2283819535292829,43.11204322132226,43.79718908191011,44.482334942497964
W1-W4,4,9,True,44.21147162921348,0.17107511371614836,0.3972921348314671,0.2283819535292829,43.526325768625625,44.21147162921348,44.89661748980133
W1-W4,4,10,True,44.09064399823034,0.2027566571786774,0.4749037823595543,0.2283819535292829,43.40549813764249,44.09064399823034,44.77578985881819
