lot_number,n_wafers,conditioning_count,conditioning_surface,slope,intercept,r_squared,p_value,std_err,significance
1,9,3,Chuck,-0.12323795880149781,44.336676479400744,0.8341711055137616,0.0005793075062929547,0.02076815937790377,***
2,10,1,Chuck,-0.13669556422540072,44.282642852823976,0.8570747615774824,0.00012127491756305542,0.019735791021222943,***
3,10,9,Chuck,-0.11943912665917586,44.4188004590412,0.829892396253006,0.00024642331705285365,0.01911844633627106,***
4,10,3,Si,-0.16046202961048686,44.61101883435206,0.83624709511265,0.00021098677085084328,0.025104668034228873,***
5,10,1,Si,-0.11382169384746359,44.107097052823974,0.804196043304647,0.00043789033767525806,0.019856825376103743,***
6,10,9,Si,-0.11252694586312537,44.17643730337078,0.6693479842233848,0.003818471127599513,0.027962187632759188,**
7,6,3,SiO2,-0.11158879614767261,44.10971041198502,0.6855915525224279,0.04182962509526113,0.037783742322857666,*
8,10,3,SiO2,-0.0557607911773921,43.92052178199251,0.6499836406540218,0.004847504011090651,0.014466947063282134,**
9,9,3,Chuck,-0.13214068321855724,44.48272628851033,0.8627109661809504,0.00029532271678308535,0.019923828419507298,***
10,4,3,SiO2,-0.12816046055056277,44.41104514960675,0.6658963333144433,0.1839752863335307,0.06419132951431478,n.s.
