test_lot,rank,feature,mi_score
1,1,current_Heater2Temp_mean,0.3200620037544919
1,2,current_Gas7Flow_min,0.231681838168444
1,3,current_Gas7Flow_mean,0.2020563238784987
1,4,current_PlatenRFReflectedPower_std,0.18830628670465677
1,5,current_moriInnerCurrent_max,0.18423758851831207
1,6,current_HeliumBPPressure_min,0.1659159360043445
1,7,current_HeliumBPFlow_mean,0.15213461523886762
1,8,current_Gas2Flow_max,0.13730467393833856
1,9,current_ForeLinePressure_min,0.1333986670911549
1,10,current_HeliumBPFlow_max,0.10997295625194958
1,11,current_SourceRFReflectedPower_mean,0.1068866170496936
1,12,current_HeliumBPFlow_min,0.10572741165173372
1,13,current_PlatenRFLoadPower_max,0.10534714345139617
1,14,current_SourceRFLoadPower_max,0.10125439524100077
1,15,current_Heater1Temp_mean,0.09681928786471694
1,16,current_HeliumBPPressure_max,0.07574831697586237
1,17,current_Gas7Flow_max,0.07286701869072143
1,18,current_PlatenRFTuningCapacitor_std,0.07194277675529914
1,19,current_PlatenDcBias_mean,0.07029543045850684
1,20,current_Heater2Temp_std,0.06867128406792422
1,21,current_PlatenRFPeakToPeak_max,0.06704265670400278
1,22,current_PlatenDcBias_min,0.057137455535826165
1,23,current_PlatenRFTuningCapacitor_min,0.05312420299316134
1,24,current_Heater3Temp_max,0.05107782888796386
1,25,current_PlatenRFTuningCapacitor_mean,0.050213421588025886
1,26,current_Gas1Flow_max,0.0493091727075432
1,27,current_PlatenRFLoadCapacitor_min,0.03205964663448779
1,28,current_HeliumBPFlow_std,0.017984560500578173
1,29,current_SourceRF2PeakToPeak_mean,0.014972811900594074
1,30,current_PlatenRFPeakToPeak_mean,0.013856607843213187
1,31,current_PlatenRFReflectedPower_mean,0.012447769020879962
1,32,current_Gas2Flow_mean,0.011198372832037506
1,33,current_PlatenDcBias_max,0.008609730537513016
1,34,current_SourceRF2PeakToPeak_max,0.0074496705539235375
1,35,current_Gas1Flow_mean,0.0036280564381916403
1,36,current_Heater4Temp_mean,0.0032244295639767273
1,37,current_EpdIntensity_mean,0.0
1,38,current_ForeLinePressure_max,0.0
1,39,current_ForeLinePressure_mean,0.0
1,40,current_Gas2Flow_min,0.0
1,41,current_Gas2Flow_std,0.0
1,42,current_Gas4Flow_max,0.0
1,43,current_Gas4Flow_mean,0.0
1,44,current_Gas5Flow_max,0.0
1,45,current_Gas7Flow_std,0.0
1,46,current_Heater3Temp_mean,0.0
1,47,current_Heater3Temp_min,0.0
1,48,current_Heater3Temp_std,0.0
1,49,current_Heater4Temp_std,0.0
1,50,current_HeliumBPPressure_mean,0.0
1,51,current_PlatenDcBias_std,0.0
1,52,current_PlatenRFLoadCapacitor_max,0.0
1,53,current_PlatenRFLoadCapacitor_mean,0.0
1,54,current_PlatenRFLoadCapacitor_std,0.0
1,55,current_PlatenRFReflectedPower_max,0.0
1,56,current_PlatenRFTuningCapacitor_max,0.0
1,57,current_Pressure_max,0.0
1,58,current_Pressure_mean,0.0
1,59,current_Pressure_min,0.0
1,60,current_SourceRFPeakToPeak_max,0.0
1,61,current_SourceRFReflectedPower_std,0.0
2,1,current_Heater2Temp_mean,0.24010583404767072
2,2,current_PlatenRFReflectedPower_std,0.21041077253988405
2,3,current_SourceRFReflectedPower_mean,0.162600136463942
2,4,current_HeliumBPPressure_min,0.1455406486661588
2,5,current_Gas7Flow_min,0.14432158961396646
2,6,current_Gas7Flow_mean,0.13898621580936288
2,7,current_HeliumBPFlow_mean,0.13691810874109756
2,8,current_PlatenRFTuningCapacitor_std,0.12835077536331418
2,9,current_PlatenRFLoadCapacitor_min,0.12532080581726435
2,10,current_HeliumBPFlow_max,0.09607895922847898
2,11,current_PlatenDcBias_min,0.09393037085540068
2,12,current_HeliumBPFlow_min,0.08628554136183197
2,13,current_PlatenRFTuningCapacitor_mean,0.08350362317190818
2,14,current_Gas5Flow_max,0.0805045676336793
2,15,current_Pressure_min,0.06951346123440949
2,16,current_ForeLinePressure_max,0.0663160350777996
2,17,current_HeliumBPPressure_max,0.05786928851896622
2,18,current_SourceRFLoadPower_max,0.05661405904929295
2,19,current_PlatenRFPeakToPeak_max,0.05656221180356824
2,20,current_PlatenDcBias_mean,0.05249244370318795
2,21,current_PlatenRFPeakToPeak_mean,0.0524720559276981
2,22,current_Heater2Temp_std,0.03995600055449988
2,23,current_Heater1Temp_mean,0.03763049159633769
2,24,current_ForeLinePressure_mean,0.03081893580519024
2,25,current_PlatenRFLoadPower_max,0.023754854761517397
2,26,current_PlatenRFReflectedPower_mean,0.020825924281566488
2,27,current_Gas2Flow_mean,0.018671219575841613
2,28,current_EpdIntensity_mean,0.01853501790902712
2,29,current_Heater3Temp_std,0.0180086168724225
2,30,current_Gas4Flow_mean,0.007544647734983645
2,31,current_SourceRFPeakToPeak_max,0.005496469156192729
2,32,current_PlatenRFTuningCapacitor_min,0.005269485255739781
2,33,current_HeliumBPFlow_std,0.003763225076010235
2,34,current_Gas7Flow_max,0.0012133289937010794
2,35,current_PlatenDcBias_max,0.00032918745829912943
2,36,current_ForeLinePressure_min,0.0
2,37,current_Gas1Flow_max,0.0
2,38,current_Gas1Flow_mean,0.0
2,39,current_Gas2Flow_max,0.0
2,40,current_Gas2Flow_min,0.0
2,41,current_Gas2Flow_std,0.0
2,42,current_Gas4Flow_max,0.0
2,43,current_Gas7Flow_std,0.0
2,44,current_Heater3Temp_max,0.0
2,45,current_Heater3Temp_mean,0.0
2,46,current_Heater3Temp_min,0.0
2,47,current_Heater4Temp_mean,0.0
2,48,current_Heater4Temp_std,0.0
2,49,current_HeliumBPPressure_mean,0.0
2,50,current_PlatenDcBias_std,0.0
2,51,current_PlatenRFLoadCapacitor_max,0.0
2,52,current_PlatenRFLoadCapacitor_mean,0.0
2,53,current_PlatenRFLoadCapacitor_std,0.0
2,54,current_PlatenRFReflectedPower_max,0.0
2,55,current_PlatenRFTuningCapacitor_max,0.0
2,56,current_Pressure_max,0.0
2,57,current_Pressure_mean,0.0
2,58,current_SourceRF2PeakToPeak_max,0.0
2,59,current_SourceRF2PeakToPeak_mean,0.0
2,60,current_SourceRFReflectedPower_std,0.0
2,61,current_moriInnerCurrent_max,0.0
3,1,current_Heater2Temp_mean,0.3314005706124983
3,2,current_HeliumBPFlow_mean,0.20884149168534605
3,3,current_Pressure_min,0.18618882624109023
3,4,current_Gas7Flow_mean,0.1654065754098859
3,5,current_PlatenRFReflectedPower_std,0.16356241636978242
3,6,current_PlatenDcBias_min,0.1311677701996261
3,7,current_Gas7Flow_min,0.11789317964412316
3,8,current_HeliumBPFlow_max,0.11647978544861615
3,9,current_HeliumBPPressure_min,0.11585378001200208
3,10,current_SourceRFReflectedPower_mean,0.11360392814598796
3,11,current_PlatenRFPeakToPeak_max,0.1007588567174833
3,12,current_PlatenRFTuningCapacitor_std,0.09728041464535409
3,13,current_SourceRFReflectedPower_std,0.09503075295516594
3,14,current_Gas2Flow_max,0.08988810525865443
3,15,current_PlatenRFTuningCapacitor_mean,0.08587022438002911
3,16,current_HeliumBPFlow_min,0.07790082537553178
3,17,current_ForeLinePressure_max,0.0724900250422893
3,18,current_PlatenRFPeakToPeak_mean,0.07215348516493258
3,19,current_HeliumBPFlow_std,0.06427132797305157
3,20,current_ForeLinePressure_mean,0.05782161522081797
3,21,current_Pressure_mean,0.05698253666565334
3,22,current_PlatenDcBias_mean,0.05454680046641158
3,23,current_Gas2Flow_mean,0.05316323505223375
3,24,current_Heater2Temp_std,0.046424822509657515
3,25,current_SourceRFPeakToPeak_max,0.04235029515766109
3,26,current_Heater3Temp_max,0.038010247450266155
3,27,current_Gas1Flow_mean,0.03694124842208368
3,28,current_SourceRFLoadPower_max,0.028974555251308765
3,29,current_Gas4Flow_mean,0.02552216863565704
3,30,current_Heater4Temp_mean,0.02509544116811324
3,31,current_PlatenRFLoadCapacitor_min,0.02190237573014997
3,32,current_PlatenRFReflectedPower_max,0.02177529192959682
3,33,current_PlatenDcBias_max,0.01986693118270022
3,34,current_Heater1Temp_mean,0.01935135532198662
3,35,current_HeliumBPPressure_max,0.013445360766848102
3,36,current_Heater3Temp_std,0.012824718693309256
3,37,current_Gas7Flow_max,0.006487832062463061
3,38,current_moriInnerCurrent_max,0.0017477571061437214
3,39,current_EpdIntensity_mean,0.0
3,40,current_ForeLinePressure_min,0.0
3,41,current_Gas1Flow_max,0.0
3,42,current_Gas2Flow_min,0.0
3,43,current_Gas2Flow_std,0.0
3,44,current_Gas4Flow_max,0.0
3,45,current_Gas5Flow_max,0.0
3,46,current_Gas7Flow_std,0.0
3,47,current_Heater3Temp_mean,0.0
3,48,current_Heater3Temp_min,0.0
3,49,current_Heater4Temp_std,0.0
3,50,current_HeliumBPPressure_mean,0.0
3,51,current_PlatenDcBias_std,0.0
