feature,top5_count,top10_count,top15_count,mean_rank,mean_mi_score
current_Heater2Temp_mean,10,10,10,1.2,0.27192628174626143
current_PlatenRFReflectedPower_std,8,10,10,3.4,0.19306838672321677
current_Gas7Flow_min,7,10,10,4.5,0.16602351303431118
current_Gas7Flow_mean,6,9,9,6.2,0.16108591169881276
current_HeliumBPFlow_mean,5,10,10,5.7,0.15353097902119078
current_HeliumBPPressure_min,3,8,10,8.3,0.13176528333778964
current_PlatenDcBias_min,2,5,7,11.6,0.11124810157370849
current_SourceRFReflectedPower_mean,1,5,8,11.5,0.10002966698455029
current_HeliumBPFlow_min,1,4,8,12.2,0.1067944654587432
current_Pressure_min,1,4,5,25.5,0.07996494497136755
current_Gas2Flow_max,1,2,3,23.9,0.06146593313830553
current_Heater2Temp_std,1,2,2,20.0,0.05904387166930665
current_PlatenRFPeakToPeak_max,1,1,4,18.7,0.07649042856756831
current_Heater1Temp_mean,1,1,3,18.8,0.0664645515439749
current_Heater4Temp_mean,1,1,2,27.1,0.04776780491429981
current_moriInnerCurrent_max,1,1,1,29.9,0.04832366382666433
current_HeliumBPFlow_max,0,7,7,12.0,0.09565687599421062
current_PlatenRFTuningCapacitor_std,0,2,4,16.5,0.0773136255439943
current_Gas1Flow_max,0,2,4,26.2,0.04141228242654138
current_SourceRF2PeakToPeak_max,0,1,3,33.1,0.034775600280657425
current_ForeLinePressure_min,0,1,3,28.7,0.03205101192605788
current_PlatenDcBias_mean,0,1,2,19.4,0.063260494454498
current_ForeLinePressure_mean,0,1,2,24.1,0.04398331707097782
current_Gas7Flow_max,0,1,2,25.1,0.04040199810365053
current_PlatenRFLoadCapacitor_min,0,1,1,30.7,0.032813432904410744
current_SourceRFLoadPower_max,0,0,5,20.4,0.05598652462046476
current_PlatenRFTuningCapacitor_mean,0,0,3,21.7,0.05465388390045482
current_HeliumBPPressure_max,0,0,2,25.4,0.04454892743975205
current_PlatenRFLoadPower_max,0,0,2,29.8,0.041814601912182205
current_HeliumBPFlow_std,0,0,2,26.2,0.04017776884709974
current_ForeLinePressure_max,0,0,1,28.5,0.03058098838224115
current_Gas2Flow_mean,0,0,1,29.8,0.02981389943114503
current_Pressure_mean,0,0,1,44.7,0.0192100766576244
current_SourceRFReflectedPower_std,0,0,1,46.4,0.016100008588543813
current_HeliumBPPressure_mean,0,0,1,44.8,0.010212069461745221
current_Gas5Flow_max,0,0,1,41.0,0.00805045676336793
current_PlatenRFPeakToPeak_mean,0,0,0,31.7,0.03711556246510093
current_PlatenRFReflectedPower_mean,0,0,0,41.3,0.018200746951309597
current_PlatenDcBias_max,0,0,0,31.3,0.017894084865701855
current_SourceRF2PeakToPeak_mean,0,0,0,43.9,0.013073247290841384
current_Pressure_max,0,0,0,46.2,0.01235731585999964
current_PlatenRFReflectedPower_max,0,0,0,43.5,0.011530513053494973
current_SourceRFPeakToPeak_max,0,0,0,47.0,0.011038254839681927
current_PlatenRFTuningCapacitor_min,0,0,0,44.5,0.010410256291089581
current_EpdIntensity_mean,0,0,0,34.3,0.010401114162240854
current_PlatenRFTuningCapacitor_max,0,0,0,50.0,0.010002240022473786
current_Gas2Flow_std,0,0,0,37.9,0.008991638812659807
current_Heater3Temp_max,0,0,0,41.4,0.008908807633823002
current_Heater3Temp_std,0,0,0,43.5,0.005664064486437148
current_Gas2Flow_min,0,0,0,38.6,0.005550469970463712
current_Gas1Flow_mean,0,0,0,37.6,0.004056930486027533
current_Gas4Flow_mean,0,0,0,39.8,0.003330185213782344
current_Gas7Flow_std,0,0,0,42.5,0.002139697727038725
current_Heater3Temp_mean,0,0,0,45.1,0.0014320270156247482
current_Gas4Flow_max,0,0,0,41.4,0.0006487744909892789
current_Heater4Temp_std,0,0,0,48.1,0.00020540522409060458
current_Heater3Temp_min,0,0,0,47.4,0.0
current_PlatenDcBias_std,0,0,0,51.2,0.0
current_PlatenRFLoadCapacitor_mean,0,0,0,53.2,0.0
current_PlatenRFLoadCapacitor_std,0,0,0,54.4,0.0
current_PlatenRFLoadCapacitor_max,0,0,0,52.2,0.0
