metric,value
total_next_wafer_pairs,56.0
pre_alarm_eligible_samples,28.0
prediction_horizon_wafers,1.0
pre_alarm_true_positive,5.0
pre_alarm_false_positive,6.0
pre_alarm_false_negative,3.0
pre_alarm_true_negative,14.0
pre_alarm_recall,0.625
pre_alarm_precision,0.45454545454545453
pre_alarm_specificity,0.7
pre_alarm_f1,0.5263157894736842
pre_alarm_false_warning_rate,0.3
observed_first_spc_alarm_events,8.0
first_spc_alarm_warned_one_step_ahead,5.0
first_spc_alarm_one_step_warning_rate,0.625
risk_threshold,0.5
