feature_a,feature_b,correlation,abs_correlation
EpdIntensity_std,EpdIntensity_max,0.9999654798345199,0.9999654798345199
EpdIntensity_mean,EpdIntensity_std,0.9999615240968593,0.9999615240968593
HeliumBPPressure_std,SourceRF2TuningCapacitor_mean,-0.9998632114693147,0.9998632114693147
EpdIntensity_mean,EpdIntensity_max,0.9998541192074216,0.9998541192074216
HeliumBPPressure_mean,SourceRF2TuningCapacitor_mean,0.9998286533234094,0.9998286533234094
moriInnerCurrent_mean,moriInnerCurrent_std,-0.9997233626862351,0.9997233626862351
HeliumBPPressure_std,SourceRF2TuningCapacitor_std,0.9996990287304784,0.9996990287304784
HeliumBPPressure_mean,HeliumBPPressure_std,-0.9996913871702178,0.9996913871702178
SourceRF2TuningCapacitor_mean,SourceRF2TuningCapacitor_std,-0.9996865905106418,0.9996865905106418
HeliumBPPressure_mean,moriInnerCurrent_mean,0.9996248931970377,0.9996248931970377
HeliumBPPressure_mean,moriInnerCurrent_std,-0.9995767925815593,0.9995767925815593
SourceRF2TuningCapacitor_mean,moriInnerCurrent_std,-0.9993557186522471,0.9993557186522471
SourceRFTuningCapacitor_mean,moriInnerCurrent_mean,-0.9992956339901732,0.9992956339901732
HeliumBPPressure_std,moriInnerCurrent_std,0.9991822326409232,0.9991822326409232
SourceRF2TuningCapacitor_mean,moriInnerCurrent_mean,0.999133078005623,0.999133078005623
HeliumBPPressure_mean,SourceRF2TuningCapacitor_std,-0.9990855616085446,0.9990855616085446
SourceRF2TuningCapacitor_mean,SourceRFTuningCapacitor_std,-0.9990246418736185,0.9990246418736185
Gas5Flow_mean,PlatenRFLoadPower_mean,0.9988937990793679,0.9988937990793679
HeliumBPPressure_std,SourceRFTuningCapacitor_std,0.9988518713894149,0.9988518713894149
SourceRF2TuningCapacitor_std,SourceRFTuningCapacitor_std,0.9988505812729225,0.9988505812729225
HeliumBPPressure_std,moriInnerCurrent_mean,-0.9987873480062912,0.9987873480062912
HeliumBPPressure_mean,SourceRFTuningCapacitor_mean,-0.998773647750661,0.998773647750661
HeliumBPPressure_mean,SourceRFTuningCapacitor_std,-0.9987422889037624,0.9987422889037624
Gas5Flow_std,SourceRFLoadPower_mean,-0.9987405644659166,0.9987405644659166
PlatenRFLoadPower_std,SourceRFLoadPower_mean,-0.9987063614744535,0.9987063614744535
SourceRFTuningCapacitor_mean,moriInnerCurrent_std,0.9986120099329249,0.9986120099329249
SourceRF2TuningCapacitor_std,moriInnerCurrent_std,0.9985509092275708,0.9985509092275708
SourceRF2TuningCapacitor_mean,SourceRFTuningCapacitor_mean,-0.9980388818623869,0.9980388818623869
SourceRF2TuningCapacitor_std,moriInnerCurrent_mean,-0.9978820900696085,0.9978820900696085
SourceRFTuningCapacitor_std,moriInnerCurrent_std,0.9976931092115366,0.9976931092115366
SourceRFTuningCapacitor_std,moriInnerCurrent_mean,-0.9976365386572409,0.9976365386572409
HeliumBPPressure_std,SourceRFTuningCapacitor_mean,0.9975455033795578,0.9975455033795578
Gas5Flow_std,PlatenRFLoadPower_std,0.9975181899821177,0.9975181899821177
PlatenRFLoadCapacitor_std,SourceRFLoadPower_std,0.9974577132154846,0.9974577132154846
Heater1Temp_mean,Heater1Temp_std,0.9973475687043903,0.9973475687043903
ForeLinePressure_std,SourceRFLoadPower_mean,-0.996762855009624,0.996762855009624
Gas4Flow_mean,Gas4Flow_std,0.9966993014517403,0.9966993014517403
SourceRFLoadPower_std,SourceRFPeakToPeak_std,0.9965581553977705,0.9965581553977705
SourceRF2TuningCapacitor_std,SourceRFTuningCapacitor_mean,0.9963616968959221,0.9963616968959221
Gas4Flow_mean,PlatenRFLoadPower_mean,0.9959585586351091,0.9959585586351091
ForeLinePressure_std,PlatenRFLoadPower_std,0.9956641445509528,0.9956641445509528
SourceRFTuningCapacitor_mean,SourceRFTuningCapacitor_std,0.9955991527780079,0.9955991527780079
Gas4Flow_mean,Gas5Flow_mean,0.995486334944593,0.995486334944593
ForeLinePressure_std,Gas5Flow_std,0.995377312456953,0.995377312456953
SourceRFLoadPower_mean,SourceRFPeakToPeak_mean,0.9953605607256701,0.9953605607256701
SourceRF2PeakToPeak_mean,SourceRF2PeakToPeak_std,0.994103998648738,0.994103998648738
Gas4Flow_std,Gas5Flow_mean,0.9939680780187413,0.9939680780187413
Gas4Flow_std,PlatenRFLoadPower_mean,0.9939342352960593,0.9939342352960593
Gas5Flow_std,SourceRFPeakToPeak_mean,-0.993788431352629,0.993788431352629
PlatenRFPeakToPeak_std,SourceRFLoadPower_mean,-0.9936742252509297,0.9936742252509297
PlatenRFLoadPower_std,SourceRFPeakToPeak_mean,-0.9936483520842538,0.9936483520842538
Gas5Flow_std,PlatenRFPeakToPeak_std,0.9928287174238463,0.9928287174238463
ForeLinePressure_std,SourceRFPeakToPeak_std,0.9928008369106389,0.9928008369106389
SourceRFLoadPower_mean,SourceRFPeakToPeak_std,-0.9915577351243301,0.9915577351243301
