test_lot,rank,feature,mi_score
1,1,current_Heater2Temp_mean,0.3200620037544919
1,2,current_Gas7Flow_min,0.231681838168444
1,3,current_Gas7Flow_mean,0.2020563238784987
1,4,current_PlatenRFReflectedPower_std,0.18830628670465677
1,5,current_moriInnerCurrent_max,0.18423758851831207
1,6,current_HeliumBPPressure_min,0.1659159360043445
1,7,current_HeliumBPFlow_mean,0.15213461523886762
1,8,current_Gas2Flow_max,0.13730467393833856
1,9,current_ForeLinePressure_min,0.1333986670911549
1,10,current_HeliumBPFlow_max,0.10997295625194958
2,1,current_Heater2Temp_mean,0.24010583404767072
2,2,current_PlatenRFReflectedPower_std,0.21041077253988405
2,3,current_SourceRFReflectedPower_mean,0.162600136463942
2,4,current_HeliumBPPressure_min,0.1455406486661588
2,5,current_Gas7Flow_min,0.14432158961396646
2,6,current_Gas7Flow_mean,0.13898621580936288
2,7,current_HeliumBPFlow_mean,0.13691810874109756
2,8,current_PlatenRFTuningCapacitor_std,0.12835077536331418
2,9,current_PlatenRFLoadCapacitor_min,0.12532080581726435
2,10,current_HeliumBPFlow_max,0.09607895922847898
3,1,current_Heater2Temp_mean,0.3314005706124983
3,2,current_HeliumBPFlow_mean,0.20884149168534605
3,3,current_Pressure_min,0.18618882624109023
3,4,current_Gas7Flow_mean,0.1654065754098859
3,5,current_PlatenRFReflectedPower_std,0.16356241636978242
3,6,current_PlatenDcBias_min,0.1311677701996261
3,7,current_Gas7Flow_min,0.11789317964412316
3,8,current_HeliumBPFlow_max,0.11647978544861615
3,9,current_HeliumBPPressure_min,0.11585378001200208
3,10,current_SourceRFReflectedPower_mean,0.11360392814598796
4,1,current_PlatenRFReflectedPower_std,0.267640844485864
4,2,current_Heater2Temp_mean,0.2580515109169381
4,3,current_Gas7Flow_mean,0.22860272580742214
4,4,current_HeliumBPFlow_mean,0.17221205858588928
4,5,current_PlatenDcBias_min,0.17144712890439306
4,6,current_Pressure_min,0.16110537315447426
4,7,current_SourceRFReflectedPower_mean,0.14108842864773385
4,8,current_HeliumBPFlow_min,0.12086896977913097
4,9,current_PlatenDcBias_mean,0.09705859437496
4,10,current_Gas7Flow_min,0.09173052119671476
5,1,current_Heater2Temp_mean,0.3019384119779056
5,2,current_PlatenRFReflectedPower_std,0.24904062948828654
5,3,current_HeliumBPFlow_min,0.21173653369079326
5,4,current_Gas7Flow_mean,0.19131004229222848
5,5,current_HeliumBPFlow_mean,0.18059898043439215
5,6,current_Gas7Flow_min,0.1550548683506645
5,7,current_PlatenDcBias_min,0.14645500649450005
5,8,current_Pressure_min,0.1380900154764475
5,9,current_HeliumBPFlow_max,0.12162639706204903
5,10,current_HeliumBPPressure_min,0.11645706080659424
6,1,current_Heater2Temp_mean,0.32711474393575357
6,2,current_PlatenRFReflectedPower_std,0.2020026844599485
6,3,current_Gas2Flow_max,0.19901290423743334
6,4,current_Gas7Flow_min,0.1728933059871407
6,5,current_Heater4Temp_mean,0.17168600567388226
6,6,current_HeliumBPFlow_mean,0.15551197862050326
6,7,current_Pressure_min,0.15068263262969261
6,8,current_HeliumBPFlow_max,0.13920801824707318
6,9,current_Gas7Flow_mean,0.133343723543776
6,10,current_HeliumBPPressure_min,0.13279091760728345
7,1,current_Heater2Temp_mean,0.17646369307935927
7,2,current_PlatenRFReflectedPower_std,0.17174180564382002
7,3,current_Gas7Flow_min,0.1683766096731858
7,4,current_PlatenDcBias_min,0.16179148342934746
7,5,current_HeliumBPPressure_min,0.15895373009931735
7,6,current_Gas7Flow_mean,0.1166639463585144
7,7,current_HeliumBPFlow_mean,0.1118545154152426
7,8,current_SourceRFReflectedPower_mean,0.1073445861411626
7,9,current_Gas1Flow_max,0.09901071074291434
7,10,current_Heater2Temp_std,0.07279685840823102
8,1,current_PlatenRFPeakToPeak_max,0.2484732890708372
8,2,current_Heater2Temp_mean,0.21969260234359678
8,3,current_Heater1Temp_mean,0.1698259890316054
8,4,current_Gas7Flow_min,0.15706032709443263
8,5,current_Heater2Temp_std,0.14276589501606574
8,6,current_Gas1Flow_max,0.1251371178121219
8,7,current_PlatenRFReflectedPower_std,0.12428687583155362
8,8,current_PlatenRFTuningCapacitor_std,0.12359853680371469
8,9,current_ForeLinePressure_mean,0.11805191276773286
8,10,current_HeliumBPFlow_mean,0.10852243164461428
9,1,current_Heater2Temp_mean,0.3143611735445673
9,2,current_Gas7Flow_min,0.2202370211568927
9,3,current_HeliumBPPressure_min,0.1753498909917386
9,4,current_HeliumBPFlow_mean,0.1565763193496783
9,5,current_Gas7Flow_mean,0.156516341546437
9,6,current_PlatenRFReflectedPower_std,0.15481599617932051
9,7,current_HeliumBPFlow_min,0.1162252296473778
9,8,current_HeliumBPFlow_max,0.10541110228799488
9,9,current_Gas7Flow_max,0.0884854196408349
9,10,current_SourceRFReflectedPower_mean,0.08082849130946301
10,1,current_Heater2Temp_mean,0.23007227324983348
10,2,current_Gas7Flow_min,0.20098586945754704
10,3,current_PlatenRFReflectedPower_std,0.19887555552905134
10,4,current_Gas7Flow_mean,0.1982623585886789
10,5,current_HeliumBPFlow_mean,0.15213929049627684
10,6,current_HeliumBPFlow_min,0.15174248290695558
10,7,current_PlatenDcBias_min,0.13668961016128844
10,8,current_HeliumBPPressure_min,0.12792010059526815
10,9,current_HeliumBPFlow_max,0.09054000594244682
10,10,current_SourceRF2PeakToPeak_max,0.07997988237148723
