feature,selected_folds,mean_rank,mean_mi_score
current_Heater2Temp_mean,10,1.2,0.27192628174626143
current_PlatenRFReflectedPower_std,10,3.4,0.19306838672321677
current_Gas7Flow_min,10,4.5,0.16602351303431118
current_HeliumBPFlow_mean,10,5.7,0.15353097902119078
current_Gas7Flow_mean,9,4.888888888888889,0.17012758369275605
current_HeliumBPPressure_min,8,6.875,0.1423477580978384
current_HeliumBPFlow_max,7,8.857142857142858,0.11133103206694409
current_PlatenDcBias_min,5,5.8,0.14951019983783104
current_SourceRFReflectedPower_mean,5,7.6,0.12109311414165788
current_Pressure_min,4,6.0,0.15901671187542615
current_HeliumBPFlow_min,4,6.0,0.1501433040060644
current_Gas2Flow_max,2,5.5,0.16815878908788595
current_PlatenRFTuningCapacitor_std,2,8.0,0.12597465608351444
current_Gas1Flow_max,2,7.5,0.11207391427751812
current_Heater2Temp_std,2,7.5,0.10778137671214838
current_PlatenRFPeakToPeak_max,1,1.0,0.2484732890708372
current_moriInnerCurrent_max,1,5.0,0.18423758851831207
current_Heater4Temp_mean,1,5.0,0.17168600567388226
current_Heater1Temp_mean,1,3.0,0.1698259890316054
current_ForeLinePressure_min,1,9.0,0.1333986670911549
current_PlatenRFLoadCapacitor_min,1,9.0,0.12532080581726435
current_ForeLinePressure_mean,1,9.0,0.11805191276773286
current_PlatenDcBias_mean,1,9.0,0.09705859437496
current_Gas7Flow_max,1,9.0,0.0884854196408349
current_SourceRF2PeakToPeak_max,1,10.0,0.07997988237148723
current_EpdIntensity_mean,0,,0.0
current_ForeLinePressure_max,0,,0.0
current_Gas1Flow_mean,0,,0.0
current_Gas2Flow_mean,0,,0.0
current_Gas2Flow_std,0,,0.0
current_Gas2Flow_min,0,,0.0
current_Gas4Flow_mean,0,,0.0
current_Gas4Flow_max,0,,0.0
current_Gas5Flow_max,0,,0.0
current_Gas7Flow_std,0,,0.0
current_Heater3Temp_mean,0,,0.0
current_Heater3Temp_std,0,,0.0
current_Heater3Temp_min,0,,0.0
current_Heater3Temp_max,0,,0.0
current_Heater4Temp_std,0,,0.0
current_HeliumBPFlow_std,0,,0.0
current_HeliumBPPressure_mean,0,,0.0
current_HeliumBPPressure_max,0,,0.0
current_PlatenDcBias_std,0,,0.0
current_PlatenDcBias_max,0,,0.0
current_PlatenRFLoadCapacitor_mean,0,,0.0
current_PlatenRFLoadCapacitor_std,0,,0.0
current_PlatenRFLoadCapacitor_max,0,,0.0
current_PlatenRFLoadPower_max,0,,0.0
current_PlatenRFPeakToPeak_mean,0,,0.0
current_PlatenRFReflectedPower_mean,0,,0.0
current_PlatenRFReflectedPower_max,0,,0.0
current_PlatenRFTuningCapacitor_mean,0,,0.0
current_PlatenRFTuningCapacitor_min,0,,0.0
current_PlatenRFTuningCapacitor_max,0,,0.0
current_Pressure_mean,0,,0.0
current_Pressure_max,0,,0.0
current_SourceRF2PeakToPeak_mean,0,,0.0
current_SourceRFLoadPower_max,0,,0.0
current_SourceRFPeakToPeak_max,0,,0.0
current_SourceRFReflectedPower_std,0,,0.0
