test_lot,model,feature_set,n,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
1,Naive,History-only,5,0.8,1.0,0.75,0.8571428571428571,0.875,1,0,1,3
1,Logistic,History-only,5,0.8,1.0,0.75,0.8571428571428571,1.0,1,0,1,3
1,Logistic,History+Process,5,0.8,0.8,1.0,0.8888888888888888,0.75,0,1,0,4
1,XGBoost,History-only,5,1.0,1.0,1.0,1.0,1.0,1,0,0,4
1,XGBoost,History+Process,5,0.8,0.8,1.0,0.8888888888888888,0.75,0,1,0,4
2,Naive,History-only,7,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,,0,0,1,6
2,Logistic,History-only,7,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,,0,0,1,6
2,Logistic,History+Process,7,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333334,,0,0,2,5
2,XGBoost,History-only,7,0.8571428571428571,1.0,0.8571428571428571,0.9230769230769231,,0,0,1,6
2,XGBoost,History+Process,7,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333334,,0,0,2,5
3,Naive,History-only,7,0.8571428571428571,1.0,0.75,0.8571428571428571,0.875,3,0,1,3
3,Logistic,History-only,7,0.8571428571428571,0.8,1.0,0.8888888888888888,1.0,2,1,0,4
3,Logistic,History+Process,7,0.8571428571428571,0.8,1.0,0.8888888888888888,1.0,2,1,0,4
3,XGBoost,History-only,7,0.8571428571428571,0.8,1.0,0.8888888888888888,1.0,2,1,0,4
3,XGBoost,History+Process,7,0.8571428571428571,0.8,1.0,0.8888888888888888,0.9166666666666667,2,1,0,4
4,Naive,History-only,7,0.8571428571428571,1.0,0.8,0.8888888888888888,0.9,2,0,1,4
4,Logistic,History-only,7,0.8571428571428571,1.0,0.8,0.8888888888888888,1.0,2,0,1,4
4,Logistic,History+Process,7,0.8571428571428571,1.0,0.8,0.8888888888888888,0.9,2,0,1,4
4,XGBoost,History-only,7,1.0,1.0,1.0,1.0,1.0,2,0,0,5
4,XGBoost,History+Process,7,0.8571428571428571,1.0,0.8,0.8888888888888888,1.0,2,0,1,4
5,Naive,History-only,7,0.5714285714285714,0.8,0.6666666666666666,0.7272727272727273,0.3333333333333333,0,1,2,4
5,Logistic,History-only,7,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0,1,1,5
5,Logistic,History+Process,7,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,0,1,1,5
5,XGBoost,History-only,7,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,1,1,5
5,XGBoost,History+Process,7,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,0,1,1,5
6,Naive,History-only,7,0.8571428571428571,1.0,0.8,0.8888888888888888,0.9,2,0,1,4
6,Logistic,History-only,7,0.7142857142857143,1.0,0.6,0.75,1.0,2,0,2,3
6,Logistic,History+Process,7,0.42857142857142855,1.0,0.2,0.3333333333333333,0.8,2,0,4,1
6,XGBoost,History-only,7,0.8571428571428571,1.0,0.8,0.8888888888888888,1.0,2,0,1,4
6,XGBoost,History+Process,7,0.7142857142857143,1.0,0.6,0.75,1.0,2,0,2,3
7,Naive,History-only,3,1.0,0.0,0.0,0.0,,3,0,0,0
7,Logistic,History-only,3,1.0,0.0,0.0,0.0,,3,0,0,0
7,Logistic,History+Process,3,0.3333333333333333,0.0,0.0,0.0,,1,2,0,0
7,XGBoost,History-only,3,0.6666666666666666,0.0,0.0,0.0,,2,1,0,0
7,XGBoost,History+Process,3,0.6666666666666666,0.0,0.0,0.0,,2,1,0,0
8,Naive,History-only,7,0.8571428571428571,0.0,0.0,0.0,0.5,6,0,1,0
8,Logistic,History-only,7,0.7142857142857143,0.3333333333333333,1.0,0.5,1.0,4,2,0,1
8,Logistic,History+Process,7,0.42857142857142855,0.0,0.0,0.0,0.16666666666666663,3,3,1,0
8,XGBoost,History-only,7,0.42857142857142855,0.2,1.0,0.3333333333333333,0.6666666666666667,2,4,0,1
8,XGBoost,History+Process,7,0.5714285714285714,0.25,1.0,0.4,0.5,3,3,0,1
9,Naive,History-only,5,0.8,1.0,0.6666666666666666,0.8,0.8333333333333333,2,0,1,2
9,Logistic,History-only,5,1.0,1.0,1.0,1.0,1.0,2,0,0,3
9,Logistic,History+Process,5,0.4,0.0,0.0,0.0,1.0,2,0,3,0
9,XGBoost,History-only,5,0.8,1.0,0.6666666666666666,0.8,1.0,2,0,1,2
9,XGBoost,History+Process,5,1.0,1.0,1.0,1.0,1.0,2,0,0,3
10,Naive,History-only,1,1.0,0.0,0.0,0.0,,1,0,0,0
10,Logistic,History-only,1,1.0,0.0,0.0,0.0,,1,0,0,0
10,Logistic,History+Process,1,1.0,0.0,0.0,0.0,,1,0,0,0
10,XGBoost,History-only,1,1.0,0.0,0.0,0.0,,1,0,0,0
10,XGBoost,History+Process,1,1.0,0.0,0.0,0.0,,1,0,0,0
