lot_number,n_pairs,target_A_positive,target_B_positive,pre_alarm_samples,first_spc_alarm_wafer,target_A_positive_rate,target_B_positive_rate
1,5,4,1,2,5.0,0.8,0.2
2,7,7,1,1,4.0,1.0,0.14285714285714285
3,7,4,1,4,7.0,0.5714285714285714,0.14285714285714285
4,7,5,1,3,6.0,0.7142857142857143,0.14285714285714285
5,7,6,1,1,4.0,0.8571428571428571,0.14285714285714285
6,7,5,1,3,6.0,0.7142857142857143,0.14285714285714285
7,3,0,0,3,,0.0,0.0
8,7,1,1,7,10.0,0.14285714285714285,0.14285714285714285
9,5,3,1,3,6.0,0.6,0.2
10,1,0,0,1,,0.0,0.0
