feature,missing_count,missing_ratio
EpdIntensity_max,0,0.0
EpdIntensity_mean,0,0.0
EpdIntensity_std,0,0.0
ForeLinePressure_max,0,0.0
ForeLinePressure_mean,0,0.0
ForeLinePressure_min,0,0.0
ForeLinePressure_std,0,0.0
Gas1Flow_max,0,0.0
Gas1Flow_mean,0,0.0
Gas1Flow_std,0,0.0
Gas2Flow_max,0,0.0
Gas2Flow_mean,0,0.0
Gas2Flow_min,0,0.0
Gas2Flow_std,0,0.0
Gas4Flow_max,0,0.0
Gas4Flow_mean,0,0.0
Gas4Flow_std,0,0.0
Gas5Flow_max,0,0.0
Gas5Flow_mean,0,0.0
Gas5Flow_std,0,0.0
Gas7Flow_max,0,0.0
Gas7Flow_mean,0,0.0
Gas7Flow_min,0,0.0
Gas7Flow_std,0,0.0
Heater1Temp_mean,0,0.0
Heater1Temp_std,0,0.0
Heater2Temp_max,0,0.0
Heater2Temp_mean,0,0.0
Heater2Temp_min,0,0.0
Heater2Temp_std,0,0.0
Heater3Temp_max,0,0.0
Heater3Temp_mean,0,0.0
Heater3Temp_min,0,0.0
Heater3Temp_std,0,0.0
Heater4Temp_max,0,0.0
Heater4Temp_mean,0,0.0
Heater4Temp_min,0,0.0
Heater4Temp_std,0,0.0
HeliumBPFlow_max,0,0.0
HeliumBPFlow_mean,0,0.0
HeliumBPFlow_min,0,0.0
HeliumBPFlow_std,0,0.0
HeliumBPPressure_max,0,0.0
HeliumBPPressure_mean,0,0.0
HeliumBPPressure_min,0,0.0
HeliumBPPressure_std,0,0.0
PlatenDcBias_max,0,0.0
PlatenDcBias_mean,0,0.0
PlatenDcBias_min,0,0.0
PlatenDcBias_std,0,0.0
PlatenRFLoadCapacitor_max,0,0.0
PlatenRFLoadCapacitor_mean,0,0.0
PlatenRFLoadCapacitor_min,0,0.0
PlatenRFLoadCapacitor_std,0,0.0
PlatenRFLoadPower_max,0,0.0
PlatenRFLoadPower_mean,0,0.0
PlatenRFLoadPower_std,0,0.0
PlatenRFPeakToPeak_max,0,0.0
PlatenRFPeakToPeak_mean,0,0.0
PlatenRFPeakToPeak_std,0,0.0
PlatenRFReflectedPower_max,0,0.0
PlatenRFReflectedPower_mean,0,0.0
PlatenRFReflectedPower_std,0,0.0
PlatenRFTuningCapacitor_max,0,0.0
PlatenRFTuningCapacitor_mean,0,0.0
PlatenRFTuningCapacitor_min,0,0.0
PlatenRFTuningCapacitor_std,0,0.0
Pressure_max,0,0.0
Pressure_mean,0,0.0
Pressure_min,0,0.0
Pressure_std,0,0.0
SourceRF2PeakToPeak_max,0,0.0
SourceRF2PeakToPeak_mean,0,0.0
SourceRF2PeakToPeak_std,0,0.0
SourceRF2TuningCapacitor_mean,0,0.0
SourceRF2TuningCapacitor_std,0,0.0
SourceRFLoadPower_max,0,0.0
SourceRFLoadPower_mean,0,0.0
SourceRFLoadPower_std,0,0.0
SourceRFPeakToPeak_max,0,0.0
SourceRFPeakToPeak_mean,0,0.0
SourceRFPeakToPeak_std,0,0.0
SourceRFReflectedPower_max,0,0.0
SourceRFReflectedPower_mean,0,0.0
SourceRFReflectedPower_std,0,0.0
SourceRFTuningCapacitor_mean,0,0.0
SourceRFTuningCapacitor_std,0,0.0
moriInnerCurrent_max,0,0.0
moriInnerCurrent_mean,0,0.0
moriInnerCurrent_std,0,0.0
