process_group,process_date,lot_number,wafer_number,n_samples,n_signals
Day_2024_07_02_Wafer_01,2024-07-02,1,1,3245,44
Day_2024_07_02_Wafer_02,2024-07-02,1,2,3298,44
Day_2024_07_02_Wafer_03,2024-07-02,1,3,3247,44
Day_2024_07_02_Wafer_04,2024-07-02,1,4,3247,44
Day_2024_07_02_Wafer_05,2024-07-02,1,5,3298,44
Day_2024_07_02_Wafer_06,2024-07-02,1,6,3246,44
Day_2024_07_02_Wafer_07,2024-07-02,1,7,3247,44
Day_2024_07_02_Wafer_08,2024-07-02,1,8,3298,44
Day_2024_07_02_Wafer_09,2024-07-02,1,9,3246,44
Day_2024_07_02_Wafer_10,2024-07-02,1,10,3247,44
Day_2024_07_05_Wafer_01,2024-07-05,2,1,3245,31
Day_2024_07_05_Wafer_02,2024-07-05,2,2,3247,31
Day_2024_07_05_Wafer_03,2024-07-05,2,3,3247,31
Day_2024_07_05_Wafer_04,2024-07-05,2,4,3298,31
Day_2024_07_05_Wafer_05,2024-07-05,2,5,3247,31
Day_2024_07_05_Wafer_06,2024-07-05,2,6,3247,31
Day_2024_07_05_Wafer_07,2024-07-05,2,7,3247,31
Day_2024_07_05_Wafer_08,2024-07-05,2,8,3299,31
Day_2024_07_05_Wafer_09,2024-07-05,2,9,3246,31
Day_2024_07_05_Wafer_10,2024-07-05,2,10,3246,31
Day_2024_07_09_Wafer_01,2024-07-09,3,1,3247,31
Day_2024_07_09_Wafer_02,2024-07-09,3,2,3298,31
Day_2024_07_09_Wafer_03,2024-07-09,3,3,3247,31
Day_2024_07_09_Wafer_04,2024-07-09,3,4,3247,31
Day_2024_07_09_Wafer_05,2024-07-09,3,5,3195,31
Day_2024_07_09_Wafer_06,2024-07-09,3,6,3246,31
Day_2024_07_09_Wafer_07,2024-07-09,3,7,3246,31
Day_2024_07_09_Wafer_08,2024-07-09,3,8,3247,31
Day_2024_07_09_Wafer_09,2024-07-09,3,9,3247,31
Day_2024_07_09_Wafer_10,2024-07-09,3,10,3349,31
Day_2024_07_11_Wafer_01,2024-07-11,4,1,3247,31
Day_2024_07_11_Wafer_02,2024-07-11,4,2,3246,31
Day_2024_07_11_Wafer_03,2024-07-11,4,3,3195,31
Day_2024_07_11_Wafer_04,2024-07-11,4,4,3247,31
Day_2024_07_11_Wafer_05,2024-07-11,4,5,3195,31
Day_2024_07_11_Wafer_06,2024-07-11,4,6,3247,31
Day_2024_07_11_Wafer_07,2024-07-11,4,7,3299,31
Day_2024_07_11_Wafer_08,2024-07-11,4,8,3299,31
Day_2024_07_11_Wafer_09,2024-07-11,4,9,3351,31
Day_2024_07_11_Wafer_10,2024-07-11,4,10,3194,31
Day_2024_07_19_Wafer_01,2024-07-19,5,1,3196,31
Day_2024_07_19_Wafer_02,2024-07-19,5,2,3351,31
Day_2024_07_19_Wafer_03,2024-07-19,5,3,3247,31
Day_2024_07_19_Wafer_04,2024-07-19,5,4,3299,31
Day_2024_07_19_Wafer_05,2024-07-19,5,5,3246,31
Day_2024_07_19_Wafer_06,2024-07-19,5,6,3247,31
Day_2024_07_19_Wafer_07,2024-07-19,5,7,3246,31
Day_2024_07_19_Wafer_08,2024-07-19,5,8,3247,31
Day_2024_07_19_Wafer_09,2024-07-19,5,9,3195,31
Day_2024_07_19_Wafer_10,2024-07-19,5,10,3245,31
Day_2024_08_07_Wafer_01,2024-08-07,8,1,3299,31
Day_2024_08_07_Wafer_02,2024-08-07,8,2,3298,31
Day_2024_08_07_Wafer_03,2024-08-07,8,3,3298,31
Day_2024_08_07_Wafer_04,2024-08-07,8,4,3247,31
Day_2024_08_07_Wafer_05,2024-08-07,8,5,3247,31
Day_2024_08_07_Wafer_06,2024-08-07,8,6,3246,31
Day_2024_08_07_Wafer_07,2024-08-07,8,7,3246,31
Day_2024_08_07_Wafer_08,2024-08-07,8,8,3835,31
Day_2024_08_07_Wafer_09,2024-08-07,8,9,3246,31
Day_2024_08_07_Wafer_10,2024-08-07,8,10,3246,31
Day_2024_08_22_Wafer_01,2024-08-22,10,1,3194,31
Day_2024_08_22_Wafer_02,2024-08-22,10,2,3298,31
Day_2024_08_22_Wafer_03,2024-08-22,10,3,3245,31
Day_2024_08_22_Wafer_04,2024-08-22,10,4,3246,31
Day_2024_08_22_Wafer_05,2024-08-22,10,5,3297,31
Day_2024_08_22_Wafer_06,2024-08-22,10,6,3298,31
Day_2024_08_22_Wafer_07,2024-08-22,10,7,3299,31
Day_2024_08_22_Wafer_08,2024-08-22,10,8,3193,31
Day_2024_08_22_Wafer_09,2024-08-22,10,9,3246,31
Day_2024_08_22_Wafer_10,2024-08-22,10,10,3246,31
Day_2024_08_01_Wafer_01,2024-08-01,6,1,3299,31
Day_2024_08_01_Wafer_02,2024-08-01,6,2,3246,31
Day_2024_08_01_Wafer_03,2024-08-01,6,3,3247,31
Day_2024_08_01_Wafer_04,2024-08-01,6,4,3247,31
Day_2024_08_01_Wafer_05,2024-08-01,6,5,3246,31
Day_2024_08_01_Wafer_06,2024-08-01,6,6,3297,31
Day_2024_08_01_Wafer_07,2024-08-01,6,7,3298,31
