process_signal,summary_features_total,summary_features_remaining,removed_all
EpdIntensity,4,3,False
ForeLinePressure,4,4,False
Gas1Flow,4,3,False
Gas2Flow,4,4,False
Gas3Flow,4,0,True
Gas4Flow,4,3,False
Gas5Flow,4,3,False
Gas6Flow,4,0,True
Gas7Flow,4,4,False
Gas8Flow,4,0,True
Heater1Temp,4,2,False
Heater2Temp,4,4,False
Heater3Temp,4,4,False
Heater4Temp,4,4,False
Heater5Temp,4,0,True
Heater6Temp,4,0,True
Heater7Temp,4,0,True
Heater8Temp,4,0,True
HeliumBPFlow,4,4,False
HeliumBPPressure,4,4,False
PlatenDcBias,4,4,False
PlatenRFLoadCapacitor,4,4,False
PlatenRFLoadPower,4,3,False
PlatenRFPeakToPeak,4,3,False
PlatenRFReflectedPower,4,3,False
PlatenRFTuningCapacitor,4,4,False
Pressure,4,4,False
SourceRF2LoadCapacitor,4,0,True
SourceRF2LoadPower,4,0,True
SourceRF2PeakToPeak,4,3,False
SourceRF2ReflectedPower,4,0,True
SourceRF2TuningCapacitor,4,2,False
SourceRFLoadCapacitor,4,0,True
SourceRFLoadPower,4,3,False
SourceRFPeakToPeak,4,3,False
SourceRFReflectedPower,4,3,False
SourceRFTuningCapacitor,4,2,False
ThermoCouple1Temp,4,0,True
ThermoCouple2Temp,4,0,True
ThermoCouple3Temp,4,0,True
ThermoCouple4Temp,4,0,True
attenuatorRatio,4,0,True
moriInnerCurrent,4,3,False
moriOuterCurrent,4,0,True
