feature,reason
EpdIntensity_max,high_correlation
EpdIntensity_std,high_correlation
ForeLinePressure_std,high_correlation
Gas1Flow_std,high_correlation
Gas4Flow_std,high_correlation
Gas5Flow_mean,high_correlation
Gas5Flow_std,high_correlation
Heater1Temp_std,high_correlation
Heater2Temp_max,high_correlation
Heater2Temp_min,high_correlation
Heater4Temp_max,high_correlation
Heater4Temp_min,high_correlation
HeliumBPPressure_std,high_correlation
PlatenRFLoadPower_mean,high_correlation
PlatenRFLoadPower_std,high_correlation
PlatenRFPeakToPeak_std,high_correlation
Pressure_std,high_correlation
SourceRF2PeakToPeak_std,high_correlation
SourceRF2TuningCapacitor_mean,high_correlation
SourceRF2TuningCapacitor_std,high_correlation
SourceRFLoadPower_mean,high_correlation
SourceRFLoadPower_std,high_correlation
SourceRFPeakToPeak_mean,high_correlation
SourceRFPeakToPeak_std,high_correlation
SourceRFReflectedPower_max,high_correlation
SourceRFTuningCapacitor_mean,high_correlation
SourceRFTuningCapacitor_std,high_correlation
moriInnerCurrent_mean,high_correlation
moriInnerCurrent_std,high_correlation
