lot_number,current_wafer,next_wafer,predicted_risk,warning,rank,feature,feature_clean,feature_value,shap_value
1,4,5,0.713219940662384,1,1,current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,7.675505811409587,0.5743451118469238
1,4,5,0.713219940662384,1,2,current_HeliumBPFlow_mean,HeliumBPFlow_mean,1.615242167265554,0.5020953416824341
1,4,5,0.713219940662384,1,3,current_Heater2Temp_mean,Heater2Temp_mean,54.43224515994218,0.2971607446670532
1,4,5,0.713219940662384,1,4,current_cv_si_etch,cv_si_etch,0.0809073173697345,0.21678122878074646
1,4,5,0.713219940662384,1,5,current_Gas7Flow_mean,Gas7Flow_mean,2.0520603166274154,0.18830905854701996
2,3,4,0.3683985769748688,0,1,current_std_si_etch,std_si_etch,3.547390219150668,0.34495413303375244
2,3,4,0.3683985769748688,0,2,current_HeliumBPFlow_mean,HeliumBPFlow_mean,1.449203053170951,0.291083961725235
2,3,4,0.3683985769748688,0,3,current_Heater2Temp_mean,Heater2Temp_mean,54.02975041630601,0.20786148309707642
2,3,4,0.3683985769748688,0,4,current_Gas7Flow_mean,Gas7Flow_mean,2.045220163039585,0.15452291071414948
2,3,4,0.3683985769748688,0,5,conditioning_surface_SiO2,conditioning_surface_SiO2,0.0,0.14638875424861908
3,6,7,0.7296637296676636,1,1,current_HeliumBPFlow_mean,HeliumBPFlow_mean,1.4325937437087537,0.8708659410476685
3,6,7,0.7296637296676636,1,2,current_wafer,wafer,6.0,0.8439915180206299
3,6,7,0.7296637296676636,1,3,current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,7.550589662376933,0.19807001948356628
3,6,7,0.7296637296676636,1,4,current_Pressure_min,Pressure_min,0.0006000000284984,0.12948691844940186
3,6,7,0.7296637296676636,1,5,conditioning_surface_SiO2,conditioning_surface_SiO2,0.0,0.1252739578485489
4,5,6,0.3945600092411041,0,1,current_wafer,wafer,5.0,0.28988540172576904
4,5,6,0.3945600092411041,0,2,current_HeliumBPFlow_mean,HeliumBPFlow_mean,1.3340602415175131,0.2177165150642395
4,5,6,0.3945600092411041,0,3,conditioning_surface_SiO2,conditioning_surface_SiO2,0.0,0.15522289276123047
4,5,6,0.3945600092411041,0,4,current_cv_si_etch,cv_si_etch,0.0815180499618862,0.09649000316858292
4,5,6,0.3945600092411041,0,5,current_HeliumBPFlow_min,HeliumBPFlow_min,0.1245155185461044,0.08001774549484253
5,3,4,0.6050675511360168,1,1,current_HeliumBPFlow_mean,HeliumBPFlow_mean,1.3751755062115534,0.576215922832489
5,3,4,0.6050675511360168,1,2,current_HeliumBPPressure_min,HeliumBPPressure_min,0.0048829615116119,0.31599605083465576
5,3,4,0.6050675511360168,1,3,conditioning_surface_SiO2,conditioning_surface_SiO2,0.0,0.20627877116203308
5,3,4,0.6050675511360168,1,4,current_Gas7Flow_min,Gas7Flow_min,1.940000057220459,0.06699234247207642
5,3,4,0.6050675511360168,1,5,current_Heater2Temp_mean,Heater2Temp_mean,54.42177380889902,0.05032379552721977
6,5,6,0.16383083164691925,0,1,current_wafer,wafer,5.0,0.22317761182785034
6,5,6,0.16383083164691925,0,2,current_HeliumBPPressure_min,HeliumBPPressure_min,0.0054933317005634,0.1566188931465149
6,5,6,0.16383083164691925,0,3,current_HeliumBPFlow_mean,HeliumBPFlow_mean,1.3456955341483368,0.09241054207086563
6,5,6,0.16383083164691925,0,4,current_Gas7Flow_mean,Gas7Flow_mean,2.064038774920186,0.07054346054792404
6,5,6,0.16383083164691925,0,5,conditioning_surface_SiO2,conditioning_surface_SiO2,0.0,0.04690054431557655
8,9,10,0.7291824221611023,1,1,current_wafer,wafer,9.0,1.1537580490112305
8,9,10,0.7291824221611023,1,2,current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,7.441628965343649,0.4983660578727722
8,9,10,0.7291824221611023,1,3,current_mean_si_etch,mean_si_etch,43.47381460674157,0.3598581850528717
8,9,10,0.7291824221611023,1,4,current_PlatenRFTuningCapacitor_std,PlatenRFTuningCapacitor_std,3.888792689709389,0.18312302231788635
8,9,10,0.7291824221611023,1,5,current_Gas7Flow_min,Gas7Flow_min,1.7599999904632568,0.0133451446890831
9,5,6,0.6086789965629578,1,1,current_HeliumBPPressure_min,HeliumBPPressure_min,0.0122074037790298,0.42337971925735474
9,5,6,0.6086789965629578,1,2,current_HeliumBPFlow_mean,HeliumBPFlow_mean,1.3580582550280966,0.4068260192871094
9,5,6,0.6086789965629578,1,3,current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,7.646688119069166,0.35465824604034424
9,5,6,0.6086789965629578,1,4,conditioning_surface_SiO2,conditioning_surface_SiO2,0.0,0.1429479867219925
9,5,6,0.6086789965629578,1,5,current_wafer,wafer,5.0,0.08680197596549988
