feature,feature_clean,mean_abs_shap,mean_shap,n_cases
current_HeliumBPFlow_mean,HeliumBPFlow_mean,0.40131711680442095,0.3379864441230893,8
current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,0.3797241618158296,0.030015481752343476,8
current_PlatenRFPeakToPeak_max,PlatenRFPeakToPeak_max,0.27073755860328674,-0.27073755860328674,1
current_HeliumBPPressure_min,HeliumBPPressure_min,0.2548113241791725,0.04385356356700262,6
current_PlatenDcBias_mean,PlatenDcBias_mean,0.22383154928684235,-0.22383154928684235,1
current_Heater2Temp_mean,Heater2Temp_mean,0.18026759452186525,-0.041431088699027896,8
current_SourceRFReflectedPower_mean,SourceRFReflectedPower_mean,0.17370047979056835,-0.17370047979056835,4
current_Heater4Temp_mean,Heater4Temp_mean,0.15915241837501526,-0.15915241837501526,1
current_PlatenRFTuningCapacitor_std,PlatenRFTuningCapacitor_std,0.14872830361127853,0.03439471870660782,2
current_Gas7Flow_mean,Gas7Flow_mean,0.10749823546835355,0.03034385453377451,7
current_Gas2Flow_max,Gas2Flow_max,0.08081566169857979,0.03431987389922142,2
current_Pressure_min,Pressure_min,0.06170929106883705,0.017578161088749766,4
current_Gas7Flow_min,Gas7Flow_min,0.056039250222966075,0.012104882625862956,8
current_HeliumBPFlow_min,HeliumBPFlow_min,0.05551680612067381,0.010579195494453112,3
current_Gas7Flow_max,Gas7Flow_max,0.03225995972752571,-0.03225995972752571,1
current_ForeLinePressure_mean,ForeLinePressure_mean,0.027124842628836632,-0.027124842628836632,1
current_PlatenDcBias_min,PlatenDcBias_min,0.02334838795165221,-0.02334838795165221,3
current_moriInnerCurrent_max,moriInnerCurrent_max,0.01909843645989895,-0.01909843645989895,1
current_HeliumBPFlow_max,HeliumBPFlow_max,0.009751745189229647,-0.006570788410802682,6
current_ForeLinePressure_min,ForeLinePressure_min,0.0,0.0,1
current_Heater1Temp_mean,Heater1Temp_mean,0.0,0.0,1
current_Gas1Flow_max,Gas1Flow_max,0.0,0.0,1
current_Heater2Temp_std,Heater2Temp_std,0.0,0.0,1
current_PlatenRFLoadCapacitor_min,PlatenRFLoadCapacitor_min,0.0,0.0,1
