feature,feature_clean,mean_abs_shap,mean_shap,n_explanations
current_wafer,wafer,0.666373563398208,0.14229694620839187,56
current_HeliumBPFlow_mean,HeliumBPFlow_mean,0.4335221227790628,0.15344058748866832,56
current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,0.3890741803583556,0.039320818231707175,56
current_std_si_etch,std_si_etch,0.38877564994618297,0.029032736417970488,56
current_mean_si_etch,mean_si_etch,0.31256397642261746,0.14155848375854216,56
current_PlatenRFPeakToPeak_max,PlatenRFPeakToPeak_max,0.30119478489671436,0.14460426356111253,7
current_HeliumBPPressure_min,HeliumBPPressure_min,0.26725003043455736,0.10652322153605166,42
current_PlatenDcBias_mean,PlatenDcBias_mean,0.22218800016811915,-0.059940499918801446,7
current_Heater4Temp_mean,Heater4Temp_mean,0.17231002237115586,-0.17231002237115586,7
current_SourceRFReflectedPower_mean,SourceRFReflectedPower_mean,0.15658251401679268,-0.004364079956350656,29
current_Heater2Temp_mean,Heater2Temp_mean,0.15578255208674818,-0.04960584036806332,56
current_PlatenRFTuningCapacitor_std,PlatenRFTuningCapacitor_std,0.14354012640459196,0.029642595776489804,14
conditioning_surface_SiO2,conditioning_surface_SiO2,0.13941586060848618,0.1157197685180498,56
current_Gas7Flow_mean,Gas7Flow_mean,0.11633349791625325,0.0254147611938569,49
current_HeliumBPFlow_min,HeliumBPFlow_min,0.11280635586008429,0.0681687586940825,20
current_Gas2Flow_max,Gas2Flow_max,0.0853598527610302,0.005581054836511612,12
current_Pressure_min,Pressure_min,0.07092850073240697,0.00011230103804596833,28
current_cv_si_etch,cv_si_etch,0.05625154255955879,0.024965690964433764,56
current_Gas7Flow_min,Gas7Flow_min,0.055295481496224444,0.012758203100280039,56
current_Heater2Temp_std,Heater2Temp_std,0.028517647087574004,0.0019351199269294738,10
current_Gas7Flow_max,Gas7Flow_max,0.026220370642840864,-0.026220370642840864,5
conditioning_surface_Si,conditioning_surface_Si,0.025234629516489804,-0.00854893951743309,56
current_moriInnerCurrent_max,moriInnerCurrent_max,0.023910945281386375,-0.009671565517783165,5
current_PlatenDcBias_min,PlatenDcBias_min,0.01917891889810562,-0.008889558911323547,25
current_ForeLinePressure_mean,ForeLinePressure_mean,0.016798379564923898,-0.0037877244342650685,7
current_SourceRF2PeakToPeak_max,SourceRF2PeakToPeak_max,0.014787046238780022,0.014787046238780022,1
current_HeliumBPFlow_max,HeliumBPFlow_max,0.012106992471485566,-0.005489078398125294,39
conditioning_surface_Chuck,conditioning_surface_Chuck,0.0021509476521584603,0.0017595392169563898,56
conditioning_count,conditioning_count,0.0016703692797039235,-0.0016703692797039235,56
current_Heater1Temp_mean,Heater1Temp_mean,0.0,0.0,7
current_ForeLinePressure_min,ForeLinePressure_min,0.0,0.0,5
current_Gas1Flow_max,Gas1Flow_max,0.0,0.0,10
current_PlatenRFLoadCapacitor_min,PlatenRFLoadCapacitor_min,0.0,0.0,7
