feature,feature_clean,n_explanations,value_shap_correlation,risk_tendency,mean_abs_shap,selected_folds
current_HeliumBPFlow_mean,HeliumBPFlow_mean,56,0.6220862954623684,Higher value tends to increase risk,0.4335221227790628,10
current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,56,-0.44482314571536136,Lower value tends to increase risk,0.3890741803583556,10
current_Heater2Temp_mean,Heater2Temp_mean,56,-0.7180475652911922,Lower value tends to increase risk,0.15578255208674818,10
current_Gas7Flow_min,Gas7Flow_min,56,-0.35971650650571263,Lower value tends to increase risk,0.055295481496224444,10
current_Gas7Flow_mean,Gas7Flow_mean,49,-0.774391027726894,Lower value tends to increase risk,0.11633349791625325,9
current_HeliumBPPressure_min,HeliumBPPressure_min,42,0.8068289740736367,Higher value tends to increase risk,0.26725003043455736,8
current_HeliumBPFlow_max,HeliumBPFlow_max,39,0.10601463373975327,Nonlinear / weak monotonic tendency,0.012106992471485566,7
current_SourceRFReflectedPower_mean,SourceRFReflectedPower_mean,29,0.8634365222767673,Higher value tends to increase risk,0.15658251401679268,5
current_PlatenDcBias_min,PlatenDcBias_min,25,-0.4002231002240088,Lower value tends to increase risk,0.01917891889810562,5
current_HeliumBPFlow_min,HeliumBPFlow_min,20,0.6917001661653226,Higher value tends to increase risk,0.11280635586008429,4
current_Pressure_min,Pressure_min,28,-0.8146614472679512,Lower value tends to increase risk,0.07092850073240697,4
current_PlatenRFTuningCapacitor_std,PlatenRFTuningCapacitor_std,14,-0.8503367996451375,Lower value tends to increase risk,0.14354012640459196,2
current_Gas2Flow_max,Gas2Flow_max,12,-0.7173145488614621,Lower value tends to increase risk,0.0853598527610302,2
current_Heater2Temp_std,Heater2Temp_std,10,0.22635030517536137,Nonlinear / weak monotonic tendency,0.028517647087574004,2
current_Gas1Flow_max,Gas1Flow_max,10,,Insufficient/Nonlinear,0.0,2
current_PlatenRFPeakToPeak_max,PlatenRFPeakToPeak_max,7,0.9749505638657571,Higher value tends to increase risk,0.30119478489671436,1
current_PlatenDcBias_mean,PlatenDcBias_mean,7,-0.7250538745170303,Lower value tends to increase risk,0.22218800016811915,1
current_Heater4Temp_mean,Heater4Temp_mean,7,-0.5713131615668442,Lower value tends to increase risk,0.17231002237115586,1
current_Gas7Flow_max,Gas7Flow_max,5,0.046392714784259846,Nonlinear / weak monotonic tendency,0.026220370642840864,1
current_moriInnerCurrent_max,moriInnerCurrent_max,5,-0.8149609598051876,Lower value tends to increase risk,0.023910945281386375,1
current_ForeLinePressure_mean,ForeLinePressure_mean,7,-0.5113859503386035,Lower value tends to increase risk,0.016798379564923898,1
current_ForeLinePressure_min,ForeLinePressure_min,5,,Insufficient/Nonlinear,0.0,1
current_Heater1Temp_mean,Heater1Temp_mean,7,,Insufficient/Nonlinear,0.0,1
current_PlatenRFLoadCapacitor_min,PlatenRFLoadCapacitor_min,7,,Insufficient/Nonlinear,0.0,1
