feature,feature_clean,mean_abs_shap,mean_shap,n_cases
current_HeliumBPFlow_mean,HeliumBPFlow_mean,0.5218651831150055,0.42053610682487486,5
current_PlatenRFReflectedPower_std,PlatenRFReflectedPower_std,0.35254931151866914,0.2976264625787735,5
current_HeliumBPPressure_min,HeliumBPPressure_min,0.306514386087656,0.06317349895834923,4
current_PlatenRFPeakToPeak_max,PlatenRFPeakToPeak_max,0.27073755860328674,-0.27073755860328674,1
current_PlatenRFTuningCapacitor_std,PlatenRFTuningCapacitor_std,0.18312302231788635,0.18312302231788635,1
current_Heater2Temp_mean,Heater2Temp_mean,0.12337979637086391,0.015614019706845284,5
current_Gas7Flow_mean,Gas7Flow_mean,0.11729608848690987,-0.01772407814860344,4
current_Gas2Flow_max,Gas2Flow_max,0.11513553559780121,0.11513553559780121,1
current_Pressure_min,Pressure_min,0.07705644331872463,0.07705644331872463,2
current_Gas7Flow_min,Gas7Flow_min,0.0748373281210661,0.0045423399657011036,5
current_SourceRFReflectedPower_mean,SourceRFReflectedPower_mean,0.06327660009264946,-0.06327660009264946,2
current_HeliumBPFlow_min,HeliumBPFlow_min,0.04326633643358946,-0.024140079505741596,2
current_Gas7Flow_max,Gas7Flow_max,0.03225995972752571,-0.03225995972752571,1
current_ForeLinePressure_mean,ForeLinePressure_mean,0.027124842628836632,-0.027124842628836632,1
current_moriInnerCurrent_max,moriInnerCurrent_max,0.01909843645989895,-0.01909843645989895,1
current_PlatenDcBias_min,PlatenDcBias_min,0.006319495849311352,-0.006319495849311352,2
current_HeliumBPFlow_max,HeliumBPFlow_max,0.005446138326078653,-0.0006747031584382057,4
current_ForeLinePressure_min,ForeLinePressure_min,0.0,0.0,1
current_Gas1Flow_max,Gas1Flow_max,0.0,0.0,1
current_Heater2Temp_std,Heater2Temp_std,0.0,0.0,1
current_Heater1Temp_mean,Heater1Temp_mean,0.0,0.0,1
