lot_number,conditioning_count,conditioning_surface,CL,LCL,UCL,first_spc_alarm_wafer,first_alarm_value,first_alarm_direction,last_available_wafer
1,3,Chuck,44.15916704119851,43.62672794196607,44.69160614043095,5.0,43.42659101123596,Below LCL,10
2,1,Chuck,44.12283540123596,43.59039630200352,44.6552745004684,4.0,43.42695056179775,Below LCL,10
3,9,Chuck,44.118369479662924,43.58593038043048,44.650808578895365,7.0,43.58551297651685,Below LCL,10
4,3,Si,44.33190473531835,43.79946563608591,44.864343834550795,6.0,43.64391731,Below LCL,10
5,1,Si,43.96169288389513,43.42925378466269,44.49413198312757,4.0,43.35476853932584,Below LCL,10
6,9,Si,44.00474981273408,43.47231071350164,44.537188911966524,6.0,43.231184269662926,Below LCL,10
7,3,SiO2,43.87698951310861,43.34455041387617,44.40942861234105,,,No alarm,6
8,3,SiO2,43.785356229063666,43.252917129831225,44.31779532829611,10.0,43.21752471910112,Below LCL,10
9,3,Chuck,44.28895805243445,43.75651895320201,44.82139715166689,6.0,43.35196179775281,Below LCL,10
10,3,SiO2,44.16679363295881,43.634354533726366,44.69923273219125,,,No alarm,4
