lot_number,baseline_n,baseline_wafers,baseline_mean,baseline_std,baseline_cv
1,2,"1,2",44.16393876404494,0.17685058398275544,0.004004411493449816
1,3,"1,2,3",44.15916704119851,0.12532506750163985,0.002838030603809108
1,4,"1,2,3,4",44.09569915730337,0.16304479192550175,0.0036975214145912316
2,2,"1,2",44.208510112359555,8.5806216144463e-05,1.9409434049322057e-06
2,3,"1,2,3",44.12283540123596,0.1483929649939227,0.0033631783552551557
2,4,"1,2,3,4",43.94886419137641,0.36843485468457415,0.008383262263166017
3,2,"1,2",44.044549438202246,0.19656932915384914,0.004462966057347241
3,3,"1,2,3",44.118369479662924,0.18885959373503824,0.004280747361302555
3,4,"1,2,3,4",44.10864868696629,0.15542395570324988,0.0035236616928864626
4,2,"1,2",44.33560412730337,0.04143546869924254,0.0009345867619231374
4,3,"1,2,3",44.33190473531835,0.029991757806760156,0.0006765276156263666
4,4,"1,2,3,4",44.24857121058989,0.16845645055099012,0.003807048362064941
5,2,"1,2",44.013288764044944,0.425554339962099,0.009668769408336969
5,3,"1,2,3",43.96169288389513,0.3139022979775555,0.007140359649174248
5,4,"1,2,3,4",43.80996179775281,0.39721412167508585,0.009066753436325995
6,2,"1,2",43.97362584269663,0.3131116497214134,0.007120441940391337
6,3,"1,2,3",44.00474981273408,0.2278717997653722,0.00517834553622279
6,4,"1,2,3,4",43.97721685393259,0.1940342582303439,0.004412154113226761
7,2,"1,2",43.97098146067415,0.19780160175791794,0.004498457737060603
7,3,"1,2,3",43.87698951310861,0.21463036935739122,0.004891638458770482
7,4,"1,2,3,4",43.8479904494382,0.18459301108665083,0.0042098397029051516
8,2,"1,2",43.82032029865168,0.10727832267555389,0.002448140998158217
8,3,"1,2,3",43.785356229063666,0.09706584231596013,0.0022168562888505213
8,4,"1,2,3,4",43.79718908191011,0.08271185398083464,0.0018885196907533445
9,2,"1,2",44.33399550561798,0.05983394572040849,0.001349617715209683
9,3,"1,2,3",44.28895805243445,0.08874213823212608,0.0020037079699879766
9,4,"1,2,3,4",44.21147162921348,0.17107511371614836,0.003869473406153429
10,2,"1,2",44.17359325842697,0.2312318624680137,0.005234617458336418
10,3,"1,2,3",44.16679363295881,0.16392922811303395,0.003711594495071162
10,4,"1,2,3,4",44.09064399823034,0.2027566571786774,0.004598632244673392
